pos;name;pais;num;edad
Portero;Maarten Vandevoordt;Bélgica;26;26/02/2002
Portero;Péter Gulácsi ;Hungría;1;06/05/1990
Portero;Leopold Zingerle;Alemania;25;10/04/1994
Defensa central;Castello Lukeba;Francia;23;17/12/2002
Defensa central;El Chadaille Bitshiabu;Francia;5;16/05/2005
Defensa central;Willi Orbán;Hungría;4;03/11/1992
Defensa central;Lukas Klostermann;Alemania;16;03/06/1996
Defensa central;Jonathan Norbye;Noruega;-;26/03/2007
Lateral izquierdo;David Raum ;Alemania;22;22/04/1998
Lateral izquierdo;Max Finkgräfe;Alemania;35;27/03/2004
Lateral derecho;Ridle Baku;Alemania;17;08/04/1998
Lateral derecho;Benjamin Henrichs;Alemania;39;23/02/1997
Lateral derecho;Kosta Nedeljkovic ;Serbia;19;16/12/2005
Pivote;Nicolas Seiwald;Austria;13;04/05/2001
Pivote;Benno Kaltefleiter;Alemania;37;14/02/2008
Mediocentro;Assan Ouédraogo ;Alemania;20;09/05/2006
Mediocentro;Ezechiel Banzuzi;Países Bajos;6;16/02/2005
Mediocentro;Xaver Schlager ;Austria;24;28/09/1997
Interior izquierdo;Joyeux Masanka Bungi;Bélgica;42;24/01/2007
Mediocentro ofensivo;Brajan Gruda;Alemania;10;31/05/2004
Mediocentro ofensivo;Christoph Baumgartner;Austria;14;01/08/1999
Mediocentro ofensivo;Andrija Maksimovic;Serbia;33;05/06/2007
Mediocentro ofensivo;Viggo Gebel ;Alemania;47;22/11/2007
Extremo izquierdo;Yan Diomande;Costa de Marfil;49;14/11/2006
Extremo izquierdo;Antonio Nusa;Noruega;7;17/04/2005
Extremo izquierdo;Tidiam Gomis;Francia;27;08/08/2006
Extremo izquierdo;Suleman Sani ;Nigeria;18;01/09/2006
Extremo izquierdo;Ayodele Thomas;Países Bajos;21;23/07/2007
Extremo derecho;Johan Bakayoko;Bélgica;9;20/04/2003
Delantero centro;Rômulo;Brasil;40;08/02/2002
Delantero centro;Conrad Harder;Dinamarca;11;07/04/2005
Delantero centro;Samba Konaté;Francia;45;27/02/2009
