pos;name;pais;num;edad
Portero;Noah Atubolu;Alemania;1;25/05/2002
Portero;Florian Müller;Alemania;21;13/11/1997
Portero;Jannik Huth;Alemania;24;15/04/1994
Defensa central;Philipp Lienhart ;Austria;3;11/07/1996
Defensa central;Max Rosenfelder ;Alemania;37;10/02/2003
Defensa central;Matthias Ginter;Alemania;28;19/01/1994
Defensa central;Bruno Ogbus;Suiza;43;17/12/2005
Defensa central;Anthony Jung;Alemania;5;03/11/1991
Lateral izquierdo;Jordy Makengo;Francia;33;03/08/2001
Lateral izquierdo;Christian Günter ;Alemania;30;28/02/1993
Lateral derecho;Philipp Treu;Alemania;29;03/12/2000
Lateral derecho;Lukas Kübler ;Alemania;17;30/08/1992
Pivote;Patrick Osterhage;Alemania;6;01/02/2000
Pivote;Nicolas Höfler;Alemania;27;09/03/1990
Mediocentro;Johan Manzambi;Suiza;44;14/10/2005
Mediocentro;Maximilian Eggestein;Alemania;8;08/12/1996
Mediocentro ofensivo;Daniel-Kofi Kyereh ;Ghana;11;08/03/1996
Extremo izquierdo;Derry Scherhant;Alemania;7;10/11/2002
Extremo izquierdo;Vincenzo Grifo;Italia;32;07/04/1993
Extremo derecho;Cyriaque Irié;Burkina Faso;22;20/06/2005
Extremo derecho;Niklas Beste;Alemania;19;04/01/1999
Mediapunta;Yuito Suzuki;Japón;14;25/10/2001
Mediapunta;Maximilian Philipp;Alemania;26;01/03/1994
Delantero centro;Igor Matanovic;Croacia;31;31/03/2003
Delantero centro;Lucas Höler;Alemania;9;10/07/1994
