pos;name;pais;num;edad
Portero;Mio Backhaus;Alemania;30;16/04/2004
Portero;Karl Hein;Estonia;13;13/04/2002
Portero;Markus Kolke;Alemania;25;18/08/1990
Portero;Stefan Smarkalev;Bulgaria;37;14/05/2007
Defensa central;Karim Coulibaly ;Alemania;31;23/05/2007
Defensa central;Marco Friedl ;Austria;32;16/03/1998
Defensa central;Amos Pieper ;Alemania;5;17/01/1998
Defensa central;Maximilian Wöber ;Austria;39;04/02/1998
Defensa central;Niklas Stark;Alemania;4;14/04/1995
Defensa central;Julián Malatini;Argentina;22;31/05/2001
Defensa central;Mick Schmetgens;Alemania;33;09/09/2007
Lateral izquierdo;Felix Agu ;Nigeria;27;27/09/1999
Lateral izquierdo;Olivier Deman;Bélgica;2;06/04/2000
Lateral izquierdo;Isaac Schmidt;Suiza;23;07/12/1999
Lateral derecho;Yukinari Sugawara;Japón;3;28/06/2000
Lateral derecho;Mitchell Weiser ;Alemania;8;21/04/1994
Pivote;Senne Lynen;Bélgica;14;19/02/1999
Pivote;Wesley Adeh ;Alemania;34;08/01/2007
Mediocentro;Jens Stage;Dinamarca;6;08/11/1996
Mediocentro;Leonardo Bittencourt;Alemania;10;19/12/1993
Mediocentro ofensivo;Romano Schmid;Austria;20;27/01/2000
Mediocentro ofensivo;Cameron Puertas;España;18;18/08/1998
Mediocentro ofensivo;Patrice Covic;Croacia;24;25/06/2007
Extremo izquierdo;Samuel Mbangula;Bélgica;7;16/01/2004
Extremo izquierdo;Marco Grüll;Austria;17;06/07/1998
Extremo derecho;Justin Njinmah;Alemania;11;15/11/2000
Delantero centro;Victor Boniface ;Nigeria;44;23/12/2000
Delantero centro;Jovan Milosevic;Serbia;19;31/07/2005
Delantero centro;Keke Topp;Alemania;9;25/03/2004
Delantero centro;Salim Musah;Alemania;29;22/02/2006
