pos;name;pais;num;edad
Portero;Oliver Baumann ;Alemania;1;02/06/1990
Portero;Luca Philipp;Alemania;37;28/11/2000
Portero;Lúkas Petersson;Islandia;36;09/02/2004
Defensa central;Albian Hajdari;Kosovo;21;18/05/2003
Defensa central;Robin Hranac;República Checa;2;29/01/2000
Defensa central;Koki Machida ;Japón;28;25/08/1997
Defensa central;Ozan Kabak;Turquía;5;25/03/2000
Defensa central;Kevin Akpoguma;Nigeria;25;19/04/1995
Defensa central;Kelven Frees;Alemania;45;03/02/2005
Lateral izquierdo;Bernardo;Brasil;13;14/05/1995
Lateral derecho;Valentin Gendrey;Francia;15;21/06/2000
Lateral derecho;Vladimír Coufal;República Checa;34;22/08/1992
Pivote;Leon Avdullahu;Kosovo;7;23/02/2004
Pivote;Wouter Burger;Países Bajos;18;16/02/2001
Mediocentro;Luis Engelns;Alemania;16;11/03/2007
Mediocentro;Grischa Prömel;Alemania;6;09/01/1995
Mediocentro;Luka Duric;Bosnia y Herzegovina;48;18/06/2003
Interior izquierdo;Alexander Prass;Austria;22;26/05/2001
Mediocentro ofensivo;Muhammed Damar;Alemania;10;09/04/2004
Mediocentro ofensivo;Andrej Kramaric;Croacia;27;19/06/1991
Extremo izquierdo;Bazoumana Touré;Costa de Marfil;29;02/03/2006
Extremo derecho;Cole Campbell;Estados Unidos;20;20/02/2006
Delantero centro;Fisnik Asllani;Kosovo;11;08/08/2002
Delantero centro;Adam Hlozek ;República Checa;23;25/07/2002
Delantero centro;Tim Lemperle ;Alemania;19;05/02/2002
Delantero centro;Max Moerstedt;Alemania;33;15/01/2006
Delantero centro;Deniz Zeitler;Alemania;38;13/12/2006
Delantero centro;Ihlas Bebou ;Togo;9;23/04/1994
Delantero centro;Yannick Eduardo;República Checa;31;23/01/2006
