pos;name;pais;num;edad
Portero;Alexander Nübel;Alemania;33;30/09/1996
Portero;Florian Hellstern;Alemania;44;18/10/2007
Portero;Fabian Bredlow;Alemania;1;02/03/1995
Portero;Stefan Drljaca;Alemania;21;20/04/1999
Defensa central;Finn Jeltsch;Alemania;29;17/07/2006
Defensa central;Jeff Chabot;Alemania;24;12/02/1998
Defensa central;Luca Jaquez;Suiza;14;02/06/2003
Defensa central;Ramon Hendriks;Países Bajos;3;18/07/2001
Defensa central;Ameen Al-Dakhil;Bélgica;2;06/03/2002
Defensa central;Dan-Axel Zagadou;Francia;23;03/06/1999
Lateral izquierdo;Maximilian Mittelstädt;Alemania;7;18/03/1997
Lateral derecho;Lorenz Assignon;Francia;22;22/06/2000
Lateral derecho;Josha Vagnoman ;Alemania;4;11/12/2000
Lateral derecho;Pascal Stenzel;Alemania;15;20/03/1996
Pivote;Angelo Stiller;Alemania;6;04/04/2001
Pivote;Chema Andrés;España;30;25/04/2005
Pivote;Atakan Karazor ;Turquía;16;13/10/1996
Pivote;Mirza Catovic;Serbia;35;01/05/2007
Mediocentro;Nikolas Nartey;Dinamarca;28;22/02/2000
Mediocentro ofensivo;Bilal El Khannouss;Marruecos;11;10/05/2004
Extremo izquierdo;Chris Führich;Alemania;10;09/01/1998
Extremo izquierdo;Justin Diehl;Alemania;17;27/11/2004
Extremo derecho;Jamie Leweling;Alemania;18;26/02/2001
Extremo derecho;Badredine Bouanani;Argelia;27;08/12/2004
Extremo derecho;Lazar Jovanovic ;Serbia;45;30/11/2006
Extremo derecho;Noah Darvich;Alemania;19;25/09/2006
Delantero centro;Ermedin Demirovic;Bosnia y Herzegovina;9;25/03/1998
Delantero centro;Deniz Undav;Alemania;26;19/07/1996
Delantero centro;Tiago Tomás;Portugal;8;16/06/2002
Delantero centro;Jeremy Arévalo;Ecuador;25;19/03/2005
