pos;name;pais;num;edad
Portero;Kamil Grabara;Polonia;1;08/01/1999
Portero;Marius Müller;Alemania;29;12/07/1993
Portero;Jakub Zielinski;Polonia;30;21/02/2008
Portero;Pavao Pervan;Austria;12;13/11/1987
Defensa central;Konstantinos Koulierakis;Grecia;4;28/11/2003
Defensa central;Jeanuël Belocian;Francia;6;17/02/2005
Defensa central;Denis Vavro;Eslovaquia;3;10/04/1996
Defensa central;Jonas Adjetey;Ghana;18;13/12/2003
Defensa central;Jenson Seelt  ;Países Bajos;14;23/05/2003
Defensa central;Moritz Jenz;Alemania;15;30/04/1999
Defensa central;Cleiton ;Brasil;33;25/04/2003
Lateral izquierdo;Joakim Maehle ;Dinamarca;21;20/05/1997
Lateral izquierdo;Aaron Zehnter;Alemania;25;31/10/2004
Lateral izquierdo;Rogério ;Brasil;13;13/01/1998
Lateral derecho;Saël Kumbedi;Francia;26;26/03/2005
Lateral derecho;Kilian Fischer ;Alemania;2;12/10/2000
Lateral derecho;Jan Bürger;Alemania;41;10/03/2007
Pivote;Vini Souza;Brasil;5;17/06/1999
Mediocentro;Mattias Svanberg;Suecia;32;05/01/1999
Mediocentro;Maximilian Arnold  ;Alemania;27;27/05/1994
Mediocentro;Yannick Gerhardt;Alemania;31;13/03/1994
Mediocentro;Pharell Hensel;Alemania;37;08/06/2007
Interior izquierdo;Kevin Paredes;Estados Unidos;40;07/05/2003
Mediocentro ofensivo;Lovro Majer;Croacia;10;17/01/1998
Mediocentro ofensivo;Bence Dárdai ;Hungría;8;24/01/2006
Mediocentro ofensivo;Christian Eriksen;Dinamarca;24;14/02/1992
Extremo derecho;Patrick Wimmer ;Austria;39;30/05/2001
Extremo derecho;Jesper Lindstrøm ;Dinamarca;19;29/02/2000
Extremo derecho;Adam Daghim;Dinamarca;11;28/09/2005
Delantero centro;Mohamed Amoura;Argelia;9;09/05/2000
Delantero centro;Jonas Wind ;Dinamarca;23;07/02/1999
Delantero centro;Dzenan Pejcinovic;Alemania;17;15/02/2005
Delantero centro;Kento Shiogai;Japón;7;26/03/2005
