pos;name;pais1;pais2;num;edad;team_name
Portero;Matej Kovar;República Checa;;32;17/05/2000;psv_eindhoven
Portero;Nick Olij;Países Bajos;;1;01/08/1995;psv_eindhoven
Portero;Niek Schiks;Países Bajos;;24;03/02/2004;psv_eindhoven
Defensa central;Yarek Gasiorowski;España;Polonia;3;12/01/2005;psv_eindhoven
Defensa central;Ryan Flamingo;Países Bajos;Surinam;6;31/12/2002;psv_eindhoven
Defensa central;Armando Obispo;Curazao;Países Bajos;4;05/03/1999;psv_eindhoven
Lateral izquierdo;Mauro Júnior;Brasil;;17;06/05/1999;psv_eindhoven
Lateral izquierdo;Anass Salah-Eddine;Marruecos;Países Bajos;2;18/01/2002;psv_eindhoven
Lateral derecho;Sergiño Dest;Estados Unidos;Países Bajos;8;03/11/2000;psv_eindhoven
Lateral derecho;Kiliann Sildillia;Francia;Guadalupe;25;16/05/2002;psv_eindhoven
Pivote;Jerdy Schouten;Países Bajos;;22;12/01/1997;psv_eindhoven
Mediocentro;Joey Veerman;Países Bajos;;23;19/11/1998;psv_eindhoven
Mediocentro;Joël van den Berg;Países Bajos;;35;11/02/2007;psv_eindhoven
Mediocentro ofensivo;Ismael Saibari;Marruecos;Bélgica;34;28/01/2001;psv_eindhoven
Mediocentro ofensivo;Paul Wanner;Austria;Alemania;10;23/12/2005;psv_eindhoven
Mediocentro ofensivo;Guus Til;Países Bajos;;20;22/12/1997;psv_eindhoven
Mediocentro ofensivo;Noah Fernandez;Bélgica;Jamaica;31;09/01/2008;psv_eindhoven
Extremo izquierdo;Ruben van Bommel;Países Bajos;;7;03/08/2004;psv_eindhoven
Extremo izquierdo;Couhaib Driouech;Marruecos;Países Bajos;11;17/04/2002;psv_eindhoven
Extremo izquierdo;Ivan Perišić;Croacia;;5;02/02/1989;psv_eindhoven
Extremo derecho;Dennis Man;Rumania;;27;26/08/1998;psv_eindhoven
Extremo derecho;Esmir Bajraktarevic;Bosnia y Herzegovina;Estados Unidos;19;10/03/2005;psv_eindhoven
Delantero centro;Ricardo Pepi;Estados Unidos;México;9;09/01/2003;psv_eindhoven
Delantero centro;Myron Boadu;Países Bajos;Ghana;21;14/01/2001;psv_eindhoven
Delantero centro;Alassane Pléa;Francia;Malí;14;10/03/1993;psv_eindhoven
Portero;Timon Wellenreuther;Alemania;;22;03/12/1995;feyenoord_rotterdam
Portero;Steven Benda;Alemania;;13;01/10/1998;feyenoord_rotterdam
Portero;Liam Bossin;Irlanda;Bélgica;39;15/07/1996;feyenoord_rotterdam
Portero;Mannou Berger;Países Bajos;;37;15/10/2004;feyenoord_rotterdam
Defensa central;Anel Ahmedhodzic;Bosnia y Herzegovina;Suecia;21;26/03/1999;feyenoord_rotterdam
Defensa central;Tsuyoshi Watanabe;Japón;;4;05/02/1997;feyenoord_rotterdam
Defensa central;Thomas Beelen;Países Bajos;;3;11/06/2001;feyenoord_rotterdam
Defensa central;Jeremiah St. Juste;Países Bajos;San Cristóbal y Nieves;8;19/10/1996;feyenoord_rotterdam
Defensa central;Gernot Trauner;Austria;;18;25/03/1992;feyenoord_rotterdam
Defensa central;Malcolm Jeng;Suecia;;31;09/03/2005;feyenoord_rotterdam
Lateral izquierdo;Jordan Bos;Australia;Países Bajos;15;29/10/2002;feyenoord_rotterdam
Lateral izquierdo;Gijs Smal;Países Bajos;;5;31/08/1997;feyenoord_rotterdam
Lateral derecho;Givairo Read;Países Bajos;Surinam;26;02/06/2006;feyenoord_rotterdam
Lateral derecho;Jordan Lotomba;Suiza;RD del Congo;30;29/09/1998;feyenoord_rotterdam
Lateral derecho;Bart Nieuwkoop;Países Bajos;;2;07/03/1996;feyenoord_rotterdam
Lateral derecho;Mats Deijl;Países Bajos;;20;15/07/1997;feyenoord_rotterdam
Pivote;Oussama Targhalline;Marruecos;;28;20/05/2002;feyenoord_rotterdam
Pivote;In-beom Hwang;Corea del Sur;;6;20/09/1996;feyenoord_rotterdam
Mediocentro;Luciano Valente;Países Bajos;Italia;10;04/10/2003;feyenoord_rotterdam
Mediocentro;Thijs Kraaijeveld;Países Bajos;;24;03/05/2007;feyenoord_rotterdam
Mediocentro ofensivo;Sem Steijn;Países Bajos;;14;12/11/2001;feyenoord_rotterdam
Mediocentro ofensivo;Jakub Moder;Polonia;;7;07/04/1999;feyenoord_rotterdam
Mediocentro ofensivo;Tobias van den Elshout;Países Bajos;;44;02/02/2007;feyenoord_rotterdam
Mediocentro ofensivo;Shiloh 't Zand;Surinam;Países Bajos;25;14/05/2003;feyenoord_rotterdam
Extremo izquierdo;Leo Sauer;Eslovaquia;;16;16/12/2005;feyenoord_rotterdam
Extremo izquierdo;Aymen Sliti;Países Bajos;Túnez;32;24/03/2006;feyenoord_rotterdam
Extremo izquierdo;Gaoussou Diarra;Malí;;27;21/11/2002;feyenoord_rotterdam
Extremo derecho;Anis Hadj Moussa;Argelia;Francia;23;11/02/2002;feyenoord_rotterdam
Extremo derecho;Raheem Sterling;Inglaterra;Jamaica;19;08/12/1994;feyenoord_rotterdam
Extremo derecho;Gonçalo Borges;Portugal;;11;29/03/2001;feyenoord_rotterdam
Delantero centro;Ayase Ueda;Japón;;9;28/08/1998;feyenoord_rotterdam
Delantero centro;Casper Tengstedt;Dinamarca;;17;01/06/2000;feyenoord_rotterdam
Delantero centro;Shaqueel van Persie;Países Bajos;Marruecos;49;16/11/2006;feyenoord_rotterdam
Portero;Vitezslav Jaros;República Checa;;1;23/07/2001;ajax_amsterdam
Portero;Maarten Paes;Indonesia;Países Bajos;26;14/05/1998;ajax_amsterdam
Portero;Joeri Heerkens;Países Bajos;República Checa;12;08/05/2006;ajax_amsterdam
Portero;Paul Reverson;Ghana;Países Bajos;52;20/06/2005;ajax_amsterdam
Defensa central;Youri Baas;Países Bajos;;15;17/03/2003;ajax_amsterdam
Defensa central;Josip Sutalo;Croacia;;37;28/02/2000;ajax_amsterdam
Defensa central;Ko Itakura;Japón;;4;27/01/1997;ajax_amsterdam
Defensa central;Aaron Bouwman;Países Bajos;Inglaterra;30;28/08/2007;ajax_amsterdam
Lateral izquierdo;Oleksandr Zinchenko;Ucrania;;47;15/12/1996;ajax_amsterdam
Lateral izquierdo;Owen Wijndal;Países Bajos;Surinam;5;28/11/1999;ajax_amsterdam
Lateral derecho;Takehiro Tomiyasu;Japón;;32;05/11/1998;ajax_amsterdam
Lateral derecho;Anton Gaaei;Dinamarca;;3;19/11/2002;ajax_amsterdam
Lateral derecho;Lucas Rosa;Brasil;Italia;2;03/04/2000;ajax_amsterdam
Pivote;Jorthy Mokio;Bélgica;RD del Congo;24;29/02/2008;ajax_amsterdam
Pivote;Youri Regeer;Países Bajos;;6;18/08/2003;ajax_amsterdam
Mediocentro;Sean Steur;Países Bajos;;48;11/01/2008;ajax_amsterdam
Mediocentro;Kian Fitz-Jim;Países Bajos;Surinam;28;05/07/2003;ajax_amsterdam
Mediocentro;Davy Klaassen;Países Bajos;;18;21/02/1993;ajax_amsterdam
Mediocentro ofensivo;Oscar Gloukh;Israel;;10;01/04/2004;ajax_amsterdam
Mediocentro ofensivo;Rayane Bounida;Marruecos;Bélgica;43;03/03/2006;ajax_amsterdam
Extremo izquierdo;Mika Godts;Bélgica;;11;07/06/2005;ajax_amsterdam
Extremo izquierdo;Oliver Edvardsen;Noruega;;17;19/03/1999;ajax_amsterdam
Extremo derecho;Maher Carrizo;Argentina;;7;19/02/2006;ajax_amsterdam
Extremo derecho;Steven Berghuis;Países Bajos;;23;19/12/1991;ajax_amsterdam
Delantero centro;Kasper Dolberg;Dinamarca;;9;06/10/1997;ajax_amsterdam
Delantero centro;Wout Weghorst;Países Bajos;;25;07/08/1992;ajax_amsterdam
Delantero centro;Don-Angelo Konadu;Países Bajos;Ghana;19;03/05/2006;ajax_amsterdam
Portero;Rome-Jayden Owusu-Oduro;Países Bajos;Ghana;1;02/07/2004;az_alkmaar
Portero;Jeroen Zoet;Países Bajos;;41;06/01/1991;az_alkmaar
Portero;Hobie Verhulst;Países Bajos;;12;02/04/1993;az_alkmaar
Portero;Daniël Deen;Países Bajos;Brasil;31;13/02/2003;az_alkmaar
Defensa central;Wouter Goes;Países Bajos;;3;10/06/2004;az_alkmaar
Defensa central;Alexandre Penetra;Portugal;;5;09/09/2001;az_alkmaar
Defensa central;Rion Ichihara;Japón;;18;07/07/2005;az_alkmaar
Defensa central;Maxim Dekker;Países Bajos;;4;21/04/2004;az_alkmaar
Defensa central;Billy van Duijl;Países Bajos;;23;04/10/2005;az_alkmaar
Lateral izquierdo;Mees de Wit;Países Bajos;;34;17/04/1998;az_alkmaar
Lateral izquierdo;Mateo Chávez;México;;15;12/05/2004;az_alkmaar
Lateral derecho;Denso Kasius;Países Bajos;;30;06/10/2002;az_alkmaar
Lateral derecho;Seiya Maikuma;Japón;;2;16/10/1997;az_alkmaar
Lateral derecho;Elijah Dijkstra;Países Bajos;Curazao;22;05/08/2006;az_alkmaar
Pivote;Peer Koopmeiners;Países Bajos;;6;04/05/2000;az_alkmaar
Pivote;Kasper Boogaard;Países Bajos;;20;29/01/2006;az_alkmaar
Pivote;Jordy Clasie;Países Bajos;;8;27/06/1991;az_alkmaar
Mediocentro;Kees Smit;Países Bajos;;26;20/01/2006;az_alkmaar
Mediocentro ofensivo;Sven Mijnans;Países Bajos;;10;09/03/2000;az_alkmaar
Mediocentro ofensivo;Matej Sin;República Checa;;33;02/06/2004;az_alkmaar
Extremo izquierdo;Isak Jensen;Dinamarca;;17;23/12/2003;az_alkmaar
Extremo izquierdo;Ro-Zangelo Daal;Países Bajos;Curazao;27;10/02/2004;az_alkmaar
Extremo izquierdo;Wassim Bouziane;Países Bajos;Marruecos;75;22/12/2006;az_alkmaar
Extremo derecho;Weslley Patati;Brasil;Portugal;7;01/10/2003;az_alkmaar
Extremo derecho;Ayoub Oufkir;Países Bajos;Marruecos;24;04/01/2006;az_alkmaar
Extremo derecho;Ibrahim Sadiq;Ghana;;11;07/05/2000;az_alkmaar
Delantero centro;Troy Parrott;Irlanda;;9;04/02/2002;az_alkmaar
Delantero centro;Mexx Meerdink;Países Bajos;;35;24/07/2003;az_alkmaar
Delantero centro;Jizz Hornkamp;Países Bajos;;19;07/03/1998;az_alkmaar
Portero;Vasilios Barkas;Grecia;Países Bajos;1;30/05/1994;fc_utrecht
Portero;Michael Brouwer;Países Bajos;;25;21/01/1993;fc_utrecht
Portero;Kevin Gadellaa;Países Bajos;;33;08/04/2003;fc_utrecht
Defensa central;Matisse Didden;Bélgica;;40;08/10/2001;fc_utrecht
Defensa central;Mike Eerdhuijzen;Países Bajos;;44;13/07/2000;fc_utrecht
Defensa central;Mike van der Hoorn;Países Bajos;;3;15/10/1992;fc_utrecht
Defensa central;Nick Viergever;Países Bajos;;24;03/08/1989;fc_utrecht
Lateral izquierdo;Souffian El Karouani;Marruecos;Países Bajos;16;19/10/2000;fc_utrecht
Lateral izquierdo;Emeka Adiele;Inglaterra;Nigeria;5;31/07/2007;fc_utrecht
Lateral derecho;Siebe Horemans;Bélgica;;2;02/06/1998;fc_utrecht
Lateral derecho;Niklas Vesterlund;Dinamarca;;23;06/06/1999;fc_utrecht
Pivote;Alonzo Engwanda;Bélgica;RD del Congo;27;27/01/2003;fc_utrecht
Pivote;Jaygo van Ommeren;Países Bajos;;46;08/05/2008;fc_utrecht
Pivote;Oualid Agougil;Marruecos;Países Bajos;38;07/08/2005;fc_utrecht
Mediocentro;Gjivai Zechiël;Países Bajos;Surinam;21;01/06/2004;fc_utrecht
Mediocentro;Can Bozdogan;Alemania;Turquía;8;05/04/2001;fc_utrecht
Mediocentro;Zidane Iqbal;Irak;Inglaterra;14;27/04/2003;fc_utrecht
Mediocentro ofensivo;Victor Jensen;Dinamarca;;7;08/02/2000;fc_utrecht
Mediocentro ofensivo;Dani de Wit;Países Bajos;;20;28/01/1998;fc_utrecht
Mediocentro ofensivo;Rafik El Arguioui;Marruecos;Países Bajos;43;31/07/2005;fc_utrecht
Extremo izquierdo;Yoann Cathline;Francia;Costa de Marfil;10;22/07/2002;fc_utrecht
Extremo izquierdo;Jesper Karlsson;Suecia;;11;25/07/1998;fc_utrecht
Extremo izquierdo;Ángel Alarcón;España;;77;15/05/2004;fc_utrecht
Extremo izquierdo;Adrian Blake;Inglaterra;Jamaica;15;15/07/2005;fc_utrecht
Extremo izquierdo;Emirhan Demircan;Turquía;Alemania;17;20/01/2005;fc_utrecht
Extremo derecho;Miguel Rodríguez;España;;22;29/04/2003;fc_utrecht
Delantero centro;David Min;Países Bajos;;9;23/06/1999;fc_utrecht
Delantero centro;Artem Stepanov;Ucrania;;18;10/08/2007;fc_utrecht
Delantero centro;Sébastien Haller;Costa de Marfil;Francia;91;22/06/1994;fc_utrecht
Portero;Lars Unnerstall;Alemania;;1;20/07/1990;fc_twente_enschede
Portero;Issam El Maach;Marruecos;Países Bajos;-;01/02/2000;fc_twente_enschede
Portero;Sam Karssies;Países Bajos;;21;26/02/2003;fc_twente_enschede
Portero;Przemyslaw Tyton;Polonia;;22;04/01/1987;fc_twente_enschede
Portero;Yannick Gerritsen;Países Bajos;;31;14/02/2006;fc_twente_enschede
Defensa central;Ruud Nijstad;Países Bajos;;43;17/01/2008;fc_twente_enschede
Defensa central;Mees Hilgers;Indonesia;Países Bajos;2;13/05/2001;fc_twente_enschede
Defensa central;Stav Lemkin;Israel;España;23;02/04/2003;fc_twente_enschede
Defensa central;Max Bruns;Países Bajos;;38;06/11/2002;fc_twente_enschede
Defensa central;Robin Pröpper;Países Bajos;;3;23/09/1993;fc_twente_enschede
Lateral izquierdo;Mats Rots;Países Bajos;;39;11/03/2006;fc_twente_enschede
Lateral derecho;Bart van Rooij;Países Bajos;;28;26/05/2001;fc_twente_enschede
Lateral derecho;Guilherme Peixoto;Portugal;;12;25/05/2006;fc_twente_enschede
Pivote;Ramiz Zerrouki;Argelia;Países Bajos;6;26/05/1998;fc_twente_enschede
Pivote;Thomas van den Belt;Países Bajos;;20;18/06/2001;fc_twente_enschede
Pivote;Mathias Kjølø;Noruega;;4;27/06/2001;fc_twente_enschede
Mediocentro;Daouda Weidmann;Francia;Costa de Marfil;42;04/05/2003;fc_twente_enschede
Mediocentro ofensivo;Kristian Hlynsson;Islandia;;14;23/01/2004;fc_twente_enschede
Mediocentro ofensivo;Arno Verschueren;Bélgica;;32;08/04/1997;fc_twente_enschede
Extremo izquierdo;Sondre Ørjasæter;Noruega;;27;28/11/2003;fc_twente_enschede
Extremo izquierdo;Marko Pjaca;Croacia;;7;06/05/1995;fc_twente_enschede
Extremo derecho;Daan Rots;Países Bajos;;11;25/07/2001;fc_twente_enschede
Extremo derecho;Taylor Booth;Estados Unidos;Italia;8;31/05/2001;fc_twente_enschede
Delantero centro;Sam Lammers;Países Bajos;;10;30/04/1997;fc_twente_enschede
Delantero centro;Ricky van Wolfswinkel;Países Bajos;;9;27/01/1989;fc_twente_enschede
Delantero centro;Lucas Vennegoor of Hesselink;Países Bajos;;25;14/03/2006;fc_twente_enschede
Portero;Gonzalo Crettaz;España;Argentina;1;28/02/2000;nec_nijmegen
Portero;Jasper Cillessen;Países Bajos;;22;22/04/1989;nec_nijmegen
Portero;Rijk Janse;Países Bajos;;31;16/04/2002;nec_nijmegen
Defensa central;Ahmetcan Kaplan;Turquía;;4;16/01/2003;nec_nijmegen
Defensa central;Philippe Sandler;Países Bajos;Estados Unidos;3;10/02/1997;nec_nijmegen
Defensa central;Brayann Pereira;Francia;Congo;2;21/05/2003;nec_nijmegen
Defensa central;Deveron Fonville;Curazao;Países Bajos;24;16/05/2003;nec_nijmegen
Defensa central;Thomas Ouwejan;Países Bajos;;5;30/09/1996;nec_nijmegen
