pos;name;pais;num;edad
Portero;Vitezslav Jaros ;República Checa;1;23/07/2001
Portero;Maarten Paes;Indonesia;26;14/05/1998
Portero;Joeri Heerkens;Países Bajos;12;08/05/2006
Portero;Paul Reverson;Ghana;52;20/06/2005
Defensa central;Josip Sutalo;Croacia;37;28/02/2000
Defensa central;Youri Baas;Países Bajos;15;17/03/2003
Defensa central;Ko Itakura ;Japón;4;27/01/1997
Defensa central;Aaron Bouwman;Países Bajos;30;28/08/2007
Lateral izquierdo;Oleksandr Zinchenko ;Ucrania;47;15/12/1996
Lateral izquierdo;Owen Wijndal;Países Bajos;5;28/11/1999
Lateral derecho;Takehiro Tomiyasu;Japón;32;05/11/1998
Lateral derecho;Anton Gaaei;Dinamarca;3;19/11/2002
Lateral derecho;Lucas Rosa;Brasil;2;03/04/2000
Pivote;Jorthy Mokio;Bélgica;24;29/02/2008
Pivote;Youri Regeer;Países Bajos;6;18/08/2003
Mediocentro;Kian Fitz-Jim;Países Bajos;28;05/07/2003
Mediocentro;Davy Klaassen ;Países Bajos;18;21/02/1993
Mediocentro;Sean Steur;Países Bajos;48;11/01/2008
Mediocentro ofensivo;Oscar Gloukh;Israel;10;01/04/2004
Mediocentro ofensivo;Rayane Bounida;Bélgica;43;03/03/2006
Extremo izquierdo;Mika Godts;Bélgica;11;07/06/2005
Extremo izquierdo;Oliver Edvardsen;Noruega;17;19/03/1999
Extremo derecho;Maher Carrizo;Argentina;7;19/02/2006
Extremo derecho;Steven Berghuis;Países Bajos;23;19/12/1991
Delantero centro;Kasper Dolberg;Dinamarca;9;06/10/1997
Delantero centro;Wout Weghorst;Países Bajos;25;07/08/1992
Delantero centro;Don-Angelo Konadu;Países Bajos;19;03/05/2006
