pos;name;pais;num;edad
Portero;Etienne Vaessen;Surinam;1;26/07/1995
Portero;Lovro Stubljar;Eslovenia;13;09/08/2004
Portero;Hidde Jurjus;Países Bajos;21;09/02/1994
Portero;Dirk Baron;Países Bajos;24;16/08/2002
Defensa central;Thijmen Blokzijl;Países Bajos;3;25/02/2005
Defensa central;Dies Janse;Países Bajos;4;17/01/2006
Defensa central;Sven Bouland;Países Bajos;22;22/02/2006
Defensa central;Elvis van der Laan;Suecia;15;29/02/2008
Defensa central;Robin Kelder;Países Bajos;48;25/03/2005
Lateral izquierdo;Wouter Prins;Países Bajos;2;06/02/2004
Lateral izquierdo;Marvin Peersman;Bélgica;43;10/02/1991
Lateral derecho;Marco Rente;Alemania;5;25/02/1997
Lateral derecho;Tyrique Mercera;Curazao;16;19/12/2003
Pivote;Stije Resink  ;Países Bajos;6;28/05/2003
Pivote;Jorg Schreuders;Países Bajos;14;09/09/2004
Mediocentro;Tygo Land;Países Bajos;18;11/01/2006
Mediocentro;Tika de Jonge ;Países Bajos;8;11/03/2003
Mediocentro;Travis Hernes;Noruega;7;04/11/2005
Mediocentro ofensivo;David van der Werff;Países Bajos;17;31/08/2004
Mediocentro ofensivo;Mats Seuntjens;Países Bajos;20;17/04/1992
Extremo derecho;Younes Taha;Marruecos;10;27/11/2002
Extremo derecho;Rui Mendes;Portugal;27;10/11/1999
Extremo derecho;Mark Hoekstra;Países Bajos;69;10/02/2006
Delantero centro;Thom van Bergen;Países Bajos;26;06/01/2004
Delantero centro;Brynjólfur Willumsson;Islandia;9;12/08/2000
Delantero centro;Oskar Zawada;Polonia;19;01/02/1996
