pos;name;pais;num;edad
Portero;Lars Unnerstall;Alemania;1;20/07/1990
Portero;Issam El Maach;Marruecos;-;01/02/2000
Portero;Sam Karssies;Países Bajos;21;26/02/2003
Portero;Przemyslaw Tyton;Polonia;22;04/01/1987
Portero;Yannick Gerritsen;Países Bajos;31;14/02/2006
Defensa central;Mees Hilgers ;Indonesia;2;13/05/2001
Defensa central;Max Bruns;Países Bajos;38;06/11/2002
Defensa central;Robin Pröpper  ;Países Bajos;3;23/09/1993
Defensa central;Stav Lemkin;Israel;23;02/04/2003
Defensa central;Ruud Nijstad;Países Bajos;43;17/01/2008
Lateral izquierdo;Mats Rots;Países Bajos;39;11/03/2006
Lateral derecho;Bart van Rooij;Países Bajos;28;26/05/2001
Lateral derecho;Guilherme Peixoto;Portugal;12;25/05/2006
Pivote;Ramiz Zerrouki;Argelia;6;26/05/1998
Pivote;Thomas van den Belt;Países Bajos;20;18/06/2001
Pivote;Mathias Kjølø;Noruega;4;27/06/2001
Mediocentro;Daouda Weidmann;Francia;42;04/05/2003
Mediocentro ofensivo;Kristian Hlynsson;Islandia;14;23/01/2004
Mediocentro ofensivo;Arno Verschueren;Bélgica;32;08/04/1997
Extremo izquierdo;Sondre Ørjasæter;Noruega;27;28/11/2003
Extremo izquierdo;Marko Pjaca;Croacia;7;06/05/1995
Extremo derecho;Daan Rots;Países Bajos;11;25/07/2001
Extremo derecho;Taylor Booth;Estados Unidos;8;31/05/2001
Delantero centro;Sam Lammers;Países Bajos;10;30/04/1997
Delantero centro;Ricky van Wolfswinkel;Países Bajos;9;27/01/1989
Delantero centro;Lucas Vennegoor of Hesselink;Países Bajos;25;14/03/2006
