pos;name;pais;num;edad
Portero;Vasilios Barkas;Grecia;1;30/05/1994
Portero;Michael Brouwer;Países Bajos;25;21/01/1993
Portero;Kevin Gadellaa;Países Bajos;33;08/04/2003
Defensa central;Matisse Didden;Bélgica;40;08/10/2001
Defensa central;Mike Eerdhuijzen ;Países Bajos;44;13/07/2000
Defensa central;Mike van der Hoorn;Países Bajos;3;15/10/1992
Defensa central;Nick Viergever ;Países Bajos;24;03/08/1989
Lateral izquierdo;Souffian El Karouani;Marruecos;16;19/10/2000
Lateral izquierdo;Emeka Adiele;Inglaterra;5;31/07/2007
Lateral derecho;Siebe Horemans;Bélgica;2;02/06/1998
Lateral derecho;Niklas Vesterlund;Dinamarca;23;06/06/1999
Pivote;Alonzo Engwanda;Bélgica;27;27/01/2003
Pivote;Jaygo van Ommeren;Países Bajos;46;08/05/2008
Mediocentro;Gjivai Zechiël;Países Bajos;21;01/06/2004
Mediocentro;Zidane Iqbal;Irak;14;27/04/2003
Mediocentro;Can Bozdogan;Alemania;8;05/04/2001
Mediocentro ofensivo;Victor Jensen ;Dinamarca;7;08/02/2000
Mediocentro ofensivo;Dani de Wit;Países Bajos;20;28/01/1998
Mediocentro ofensivo;Rafik El Arguioui;Marruecos;43;31/07/2005
Extremo izquierdo;Yoann Cathline;Francia;10;22/07/2002
Extremo izquierdo;Jesper Karlsson;Suecia;11;25/07/1998
Extremo izquierdo;Adrian Blake;Inglaterra;15;15/07/2005
Extremo izquierdo;Ángel Alarcón;España;77;15/05/2004
Extremo izquierdo;Emirhan Demircan;Turquía;17;20/01/2005
Extremo derecho;Miguel Rodríguez;España;22;29/04/2003
Delantero centro;David Min ;Países Bajos;9;23/06/1999
Delantero centro;Sébastien Haller ;Costa de Marfil;91;22/06/1994
Delantero centro;Artem Stepanov;Ucrania;18;10/08/2007
