pos;name;pais;num;edad
Portero;Kayne van Oevelen;Países Bajos;1;07/08/2003
Portero;Roy Steur;Países Bajos;16;01/02/2005
Portero;Dion Vlak;Países Bajos;22;28/06/2001
Defensa central;Nick Verschuren;Países Bajos;20;13/01/2005
Defensa central;Mawouna Amevor;Togo;3;16/12/1991
Defensa central;Silvinho Esajas;Surinam;28;08/07/2002
Defensa central;Luca Blondeau;Países Bajos;25;11/02/2006
Lateral izquierdo;Yannick Leliendal;Surinam;32;23/04/2002
Lateral izquierdo;Aaron Meijers;Países Bajos;14;28/10/1987
Lateral derecho;Deron Payne;Trinidad y Tobago;2;25/09/2002
Lateral derecho;Precious Ugwu;Países Bajos;5;08/02/2006
Pivote;Gibson Yah ;Países Bajos;8;27/09/2003
Pivote;Alex Plat;Países Bajos;6;04/02/1998
Pivote;Anass Bouziane;Países Bajos;15;22/12/2006
Mediocentro;Juninho Bacuna;Curazao;4;07/08/1997
Mediocentro;Dave Kwakman;Países Bajos;23;07/08/2004
Mediocentro;Nordin Bukala;Países Bajos;18;18/09/2005
Mediocentro;Myron Mau-Asam;Países Bajos;27;01/04/2004
Mediocentro ofensivo;Robin van Cruijsen;Países Bajos;40;20/02/2006
Mediocentro ofensivo;Ozan Kökcü;Azerbaiyán;7;18/08/1998
Extremo izquierdo;Benjamin Pauwels;Bélgica;29;29/10/2004
Extremo izquierdo;Joel Ideho;Países Bajos;17;17/07/2003
Extremo izquierdo;Key-Shawn Wong-A-Soij;Países Bajos;24;01/10/2006
Extremo derecho;Bilal Ould-Chikh;Marruecos;77;28/07/1997
Extremo derecho;Aurelio Oehlers;Países Bajos;11;05/02/2004
Extremo derecho;Brandley Kuwas ;Curazao;10;19/09/1992
Delantero centro;Anthony Descotte;Bélgica;99;03/08/2003
Delantero centro;Henk Veerman  ;Países Bajos;9;26/02/1991
Delantero centro;Robert Mühren;Países Bajos;21;18/05/1989
Delantero centro;Jesper Tielemans;Países Bajos;39;17/05/2006
