pos;name;pais;num;edad
Portero;Timon Wellenreuther ;Alemania;22;03/12/1995
Portero;Steven Benda;Alemania;13;01/10/1998
Portero;Liam Bossin;Irlanda;39;15/07/1996
Portero;Mannou Berger;Países Bajos;37;15/10/2004
Defensa central;Anel Ahmedhodzic;Bosnia y Herzegovina;21;26/03/1999
Defensa central;Tsuyoshi Watanabe;Japón;4;05/02/1997
Defensa central;Thomas Beelen ;Países Bajos;3;11/06/2001
Defensa central;Jeremiah St. Juste;Países Bajos;8;19/10/1996
Defensa central;Gernot Trauner ;Austria;18;25/03/1992
Defensa central;Malcolm Jeng ;Suecia;31;09/03/2005
Lateral izquierdo;Gijs Smal ;Países Bajos;5;31/08/1997
Lateral izquierdo;Jordan Bos;Australia;15;29/10/2002
Lateral derecho;Givairo Read;Países Bajos;26;02/06/2006
Lateral derecho;Jordan Lotomba;Suiza;30;29/09/1998
Lateral derecho;Bart Nieuwkoop ;Países Bajos;2;07/03/1996
Lateral derecho;Mats Deijl;Países Bajos;20;15/07/1997
Pivote;In-beom Hwang;Corea del Sur;6;20/09/1996
Pivote;Oussama Targhalline ;Marruecos;28;20/05/2002
Mediocentro;Luciano Valente;Países Bajos;10;04/10/2003
Mediocentro;Jakub Moder;Polonia;7;07/04/1999
Mediocentro;Thijs Kraaijeveld;Países Bajos;24;03/05/2007
Mediocentro;Tobias van den Elshout;Países Bajos;44;02/02/2007
Mediocentro ofensivo;Sem Steijn ;Países Bajos;14;12/11/2001
Mediocentro ofensivo;Shiloh 't Zand;Surinam;25;14/05/2003
Extremo izquierdo;Leo Sauer ;Eslovaquia;16;16/12/2005
Extremo izquierdo;Aymen Sliti;Países Bajos;32;24/03/2006
Extremo izquierdo;Gaoussou Diarra ;Malí;27;21/11/2002
Extremo derecho;Anis Hadj Moussa;Argelia;23;11/02/2002
Extremo derecho;Raheem Sterling;Inglaterra;19;08/12/1994
Extremo derecho;Gonçalo Borges;Portugal;11;29/03/2001
Delantero centro;Ayase Ueda;Japón;9;28/08/1998
Delantero centro;Casper Tengstedt;Dinamarca;17;01/06/2000
Delantero centro;Shaqueel van Persie ;Países Bajos;49;16/11/2006
