pos;name;pais;num;edad
Portero;Mattijs Branderhorst ;Países Bajos;31;31/12/1993
Portero;Luuk Koopmans;Países Bajos;1;18/11/1993
Portero;Nick Marsman;Países Bajos;32;01/10/1990
Portero;Niels Martens;Países Bajos;25;07/05/2004
Portero;Ramazan Bayram ;Bélgica;71;12/10/2004
Defensa central;Neraysho Kasanwirjo;Países Bajos;21;18/02/2002
Defensa central;Shawn Adewoye;Bélgica;4;29/06/2000
Defensa central;Syb van Ottele;Países Bajos;6;02/02/2002
Defensa central;Iván Márquez;España;44;09/06/1994
Defensa central;Justin Hubner;Indonesia;28;14/09/2003
Lateral izquierdo;Jasper Dahlhaus;Países Bajos;8;27/11/2001
Lateral izquierdo;Daley Sinkgraven ;Países Bajos;24;04/07/1995
Lateral derecho;Ivo Pinto ;Portugal;12;07/01/1990
Pivote;Tristan Schenkhuizen;Países Bajos;38;12/07/2004
Mediocentro;Edouard Michut;Francia;20;04/03/2003
Mediocentro;Philip Brittijn;Países Bajos;23;09/04/2004
Mediocentro;Yassin Oukili;Marruecos;5;03/01/2001
Mediocentro;Justin Lonwijk ;Surinam;17;21/12/1999
Mediocentro;Samuel Bastien;RD del Congo;22;26/09/1996
Mediocentro;Hasip Korkmazyürek;Turquía;29;01/05/2003
Mediocentro ofensivo;Mohamed Ihattaren;Marruecos;52;12/02/2002
Mediocentro ofensivo;Alen Halilovic;Croacia;10;18/06/1996
Mediocentro ofensivo;Lance Duijvestijn;Países Bajos;70;15/01/1999
Mediocentro ofensivo;Luka Tunjic;Croacia;77;19/11/2005
Extremo izquierdo;Kristoffer Peterson;Suecia;7;28/11/1994
Extremo derecho;Dimitrios Limnios;Grecia;18;27/05/1998
Delantero centro;Kaj Sierhuis;Países Bajos;9;27/04/1998
Delantero centro;Paul Gladon;Países Bajos;19;18/03/1992
