pos;name;pais;num;edad
Portero;Jari De Busser;Bélgica;22;21/10/1999
Portero;Luca Plogmann;Alemania;1;10/03/2000
Portero;Sven Jansen;Países Bajos;30;23/10/2004
Portero;Nando Verdoni;Países Bajos;33;09/07/2003
Defensa central;Joris Kramer ;Países Bajos;4;02/08/1996
Defensa central;Gerrit Nauber ;Alemania;3;13/04/1992
Defensa central;Julius Dirksen;Países Bajos;26;02/02/2003
Defensa central;Giovanni van Zwam;Países Bajos;25;02/01/2004
Defensa central;Pim Saathof;Países Bajos;28;28/12/2003
Lateral izquierdo;Dean James;Indonesia;5;30/04/2000
Lateral izquierdo;Aske Adelgaard;Dinamarca;29;10/11/2003
Lateral derecho;Alfons Sampsted;Islandia;2;06/04/1998
Lateral derecho;Eus Waayers;Países Bajos;20;08/04/2006
Pivote;Melle Meulensteen;Países Bajos;21;04/07/1999
Mediocentro;Evert Linthorst;Países Bajos;8;03/03/2000
Mediocentro;Kenzo Goudmijn;Países Bajos;24;18/12/2001
Mediocentro;Yassir Salah Rahmouni;Países Bajos;34;13/06/2006
Mediocentro;Robbin Weijenberg ;Países Bajos;15;08/11/2004
Mediocentro ofensivo;Jakob Breum;Dinamarca;7;17/11/2003
Mediocentro ofensivo;Søren Tengstedt;Dinamarca;10;30/06/2000
Extremo izquierdo;Mathis Suray;Bélgica;17;26/07/2001
Extremo izquierdo;Oskar Sivertsen;Noruega;11;15/02/2004
Extremo derecho;Jaden Slory;Países Bajos;19;09/05/2005
Extremo derecho;Oscar Pettersson;Suecia;14;01/02/2000
Delantero centro;Stefán Ingi Sigurdarson;Islandia;9;27/01/2001
Delantero centro;Victor Edvardsen;Suecia;16;14/01/1996
Delantero centro;Richonell Margaret;Surinam;18;07/09/2000
Delantero centro;Finn Stokkers;Países Bajos;27;18/04/1996
Delantero centro;Thibo Baeten;Bélgica;23;04/06/2002
Delantero centro;Ofosu Boakye;Ghana;32;10/07/2007
