pos;name;pais;num;edad
Portero;Daniel Bielica;Polonia;99;30/04/1999
Portero;Roy Kortsmit;Países Bajos;1;26/08/1992
Portero;Kostas Lamprou;Grecia;31;18/09/1991
Portero;Thomas Goos;Países Bajos;44;01/01/2008
Defensa central;Leo Greiml ;Austria;12;03/07/2001
Defensa central;Rio Hillen;Países Bajos;22;05/03/2003
Defensa central;Enes Mahmutovic;Luxemburgo;15;22/05/1997
Defensa central;Denis Odoi;Ghana;3;27/05/1988
Defensa central;Jemuel Erat;Países Bajos;27;02/09/2007
Lateral izquierdo;Boy Kemper  ;Países Bajos;4;21/06/1999
Lateral izquierdo;Jayden Candelaria;Curazao;21;02/03/2004
Lateral izquierdo;Christian Chiza;Países Bajos;29;18/12/2007
Lateral derecho;Cherrion Valerius;Curazao;25;22/09/2005
Lateral derecho;Boyd Lucassen;Países Bajos;2;01/07/1998
Pivote;Max Balard;Australia;16;20/11/2000
Pivote;Fredrik Oldrup Jensen ;Noruega;20;18/05/1993
Mediocentro;Kamal Sowah;Ghana;14;09/01/2000
Mediocentro;Clint Leemans;Países Bajos;8;15/09/1995
Mediocentro;Lewis Holtby;Alemania;90;18/09/1990
Mediocentro ofensivo;Mohamed Nassoh;Marruecos;10;26/01/2003
Mediocentro ofensivo;Raul Paula;Alemania;11;25/01/2004
Extremo izquierdo;Brahim Ghalidi;Marruecos;55;31/01/2005
Extremo derecho;Juho Talvitie;Finlandia;32;25/03/2005
Delantero centro;Amine Salama;Francia;19;18/07/2000
Delantero centro;Moussa Soumano ;Francia;9;09/07/2005
Delantero centro;Charles-Andreas Brym;Canadá;7;08/08/1998
Delantero centro;André Ayew;Ghana;24;17/12/1989
Delantero centro;Pepijn Reulen;Países Bajos;26;01/06/2008
