pos;name;pais;num;edad
Portero;Gonzalo Crettaz;España;1;28/02/2000
Portero;Jasper Cillessen;Países Bajos;22;22/04/1989
Portero;Rijk Janse;Países Bajos;31;16/04/2002
Defensa central;Ahmetcan Kaplan;Turquía;4;16/01/2003
Defensa central;Philippe Sandler;Países Bajos;3;10/02/1997
Defensa central;Brayann Pereira;Francia;2;21/05/2003
Defensa central;Thomas Ouwejan;Países Bajos;5;30/09/1996
Defensa central;Deveron Fonville;Curazao;24;16/05/2003
Defensa central;Eli Dasa;Israel;14;03/12/1992
Defensa central;Jetro Willems;Países Bajos;15;30/03/1994
Defensa central;Bram Nuytinck;Países Bajos;17;04/05/1990
Pivote;Dirk Proper;Países Bajos;71;24/02/2002
Pivote;Darko Nejasmic;Croacia;6;25/01/1999
Mediocentro;Kodai Sano;Japón;23;25/09/2003
Mediocentro;Sam de Laat;Países Bajos;35;12/06/2006
Interior derecho;Sami Ouaissa;Países Bajos;25;02/10/2004
Interior izquierdo;Başar Önal;Turquía;11;06/07/2004
Interior izquierdo;Virgil Misidjan;Surinam;7;24/07/1993
Mediocentro ofensivo;Willum Thór Willumsson;Islandia;19;23/10/1998
Mediocentro ofensivo;Noé Lebreton;Francia;20;22/04/2004
Mediocentro ofensivo;Isak Hansen-Aarøen;Noruega;8;22/08/2004
Mediocentro ofensivo;Tjaronn Chery;Surinam;10;04/06/1988
Delantero centro;Koki Ogawa;Japón;18;08/08/1997
Delantero centro;Danilo;Brasil;9;07/04/1999
Delantero centro;Youssef El Kachati;Marruecos;34;09/11/1999
Delantero centro;Bryan Linssen;Países Bajos;30;08/10/1990
