pos;name;pais;num;edad
Portero;Jasper Schendelaar ;Países Bajos;1;02/09/2000
Portero;Tom de Graaff;Países Bajos;16;10/12/2004
Portero;Duke Verduin;Países Bajos;41;30/10/2003
Defensa central;Anselmo García MacNulty;Irlanda;4;19/02/2003
Defensa central;Simon Graves;Dinamarca;28;22/05/1999
Defensa central;Tijs Velthuis;Países Bajos;5;12/01/2002
Defensa central;Damian van der Haar ;Países Bajos;33;16/01/2004
Lateral izquierdo;Sherel Floranus;Curazao;2;23/08/1998
Lateral derecho;Tristan Gooijer;Países Bajos;6;02/09/2004
Lateral derecho;Olivier Aertssen;Países Bajos;3;07/08/2004
Lateral derecho;David Voute;Países Bajos;39;04/11/2005
Pivote;Jadiel Pereira da Gama;Países Bajos;26;15/12/2009
Pivote;Ryan Thomas ;Nueva Zelanda;30;20/12/1994
Pivote;Nick Fichtinger;Países Bajos;34;06/04/2004
Mediocentro;Zico Buurmeester;Países Bajos;8;07/06/2002
Mediocentro;Jamiro Monteiro;Cabo Verde;35;23/11/1993
Mediocentro;Givaro Rahajaän;Países Bajos;38;19/02/2008
Mediocentro ofensivo;Thijs Oosting;Países Bajos;25;02/05/2000
Mediocentro ofensivo;Odysseus Velanas;Países Bajos;18;05/06/1998
Mediocentro ofensivo;Gabriël Reiziger;Países Bajos;20;10/10/2005
Mediocentro ofensivo;Samir Lagsir ;Países Bajos;21;20/05/2003
Extremo izquierdo;Shola Shoretire;Inglaterra;7;02/02/2004
Extremo izquierdo;Kaj de Rooij;Países Bajos;22;25/11/2000
Extremo derecho;Younes Namli;Dinamarca;9;20/06/1994
Extremo derecho;Jan Faberski;Polonia;19;22/04/2006
Delantero centro;Koen Kostons;Países Bajos;10;18/09/1999
Delantero centro;Thomas Buitink;Países Bajos;29;14/06/2000
