pos;name;pais;num;edad
Portero;Matej Kovar;República Checa;32;17/05/2000
Portero;Nick Olij ;Países Bajos;1;01/08/1995
Portero;Niek Schiks;Países Bajos;24;03/02/2004
Defensa central;Ryan Flamingo;Países Bajos;6;31/12/2002
Defensa central;Yarek Gasiorowski;España;3;12/01/2005
Defensa central;Armando Obispo;Curazao;4;05/03/1999
Lateral izquierdo;Mauro Júnior;Brasil;17;06/05/1999
Lateral izquierdo;Anass Salah-Eddine;Marruecos;2;18/01/2002
Lateral derecho;Sergiño Dest;Estados Unidos;8;03/11/2000
Lateral derecho;Kiliann Sildillia;Francia;25;16/05/2002
Pivote;Jerdy Schouten ;Países Bajos;22;12/01/1997
Mediocentro;Joey Veerman;Países Bajos;23;19/11/1998
Mediocentro;Joël van den Berg;Países Bajos;35;11/02/2007
Mediocentro ofensivo;Ismael Saibari;Marruecos;34;28/01/2001
Mediocentro ofensivo;Guus Til ;Países Bajos;20;22/12/1997
Mediocentro ofensivo;Paul Wanner;Alemania;10;23/12/2005
Mediocentro ofensivo;Noah Fernandez;Bélgica;31;09/01/2008
Extremo izquierdo;Ruben van Bommel ;Países Bajos;7;03/08/2004
Extremo izquierdo;Couhaib Driouech;Marruecos;11;17/04/2002
Extremo izquierdo;Ivan Perišić;Croacia;5;02/02/1989
Extremo derecho;Dennis Man;Rumania;27;26/08/1998
Extremo derecho;Esmir Bajraktarevic;Bosnia y Herzegovina;19;10/03/2005
Delantero centro;Ricardo Pepi;Estados Unidos;9;09/01/2003
Delantero centro;Myron Boadu;Países Bajos;21;14/01/2001
Delantero centro;Alassane Pléa ;Francia;14;10/03/1993
