pos;name;pais;num;edad
Portero;Stijn van Gassel;Países Bajos;1;18/10/1996
Portero;Calvin Raatsie;Países Bajos;16;09/02/2002
Portero;Tijmen Holla;Países Bajos;40;25/07/2006
Defensa central;Casper Widell;Suecia;4;05/05/2003
Defensa central;Rick Meissen;Países Bajos;3;24/02/2002
Defensa central;Stan Henderikx;Países Bajos;5;08/07/2003
Defensa central;Lewis Schouten;Países Bajos;14;04/02/2004
Lateral izquierdo;Arthur Zagré;Francia;12;04/10/2001
Lateral izquierdo;Simon Janssen;Países Bajos;15;25/09/2000
Lateral derecho;Ilias Bronkhorst;Países Bajos;2;10/05/1997
Lateral derecho;Hamdi Akujobi ;Países Bajos;22;20/01/2000
Pivote;Adam Carlén;Suecia;6;27/06/2000
Mediocentro;Irakli Yegoian;Georgia;23;19/03/2004
Mediocentro;Mathijs Tielemans;Países Bajos;8;26/04/2002
Mediocentro;Lennard Hartjes;Países Bajos;20;07/04/2003
Mediocentro ofensivo;Chris-Kévin Nadje;Costa de Marfil;18;14/08/2001
Mediocentro ofensivo;Noah Naujoks;Países Bajos;10;02/05/2002
Extremo izquierdo;Emil Hansson;Suecia;7;15/06/1998
Extremo izquierdo;Gyan de Regt;Países Bajos;11;18/08/2003
Extremo derecho;Miliano Jonathans;Indonesia;26;05/04/2004
Extremo derecho;Derensili Sanches Fernandes;Países Bajos;30;28/05/2001
Delantero centro;Szymon Wlodarczyk;Polonia;9;05/01/2003
Delantero centro;Jerolldino Bergraaf;Países Bajos;33;05/07/2006
Delantero centro;Mike van Duinen;Países Bajos;29;06/11/1991
Delantero centro;Nesto Groen;Países Bajos;28;22/07/2004
