pos;name;pais;num;edad
Portero;Bernt Klaverboer;Países Bajos;22;26/09/2005
Portero;Andries Noppert;Países Bajos;44;07/04/1994
Portero;Nordin Bakker;Países Bajos;31;31/10/1997
Defensa central;Nikolai Hopland;Noruega;17;24/07/2004
Defensa central;Maas Willemsen;Países Bajos;3;29/04/2003
Defensa central;Sam Kersten ;Países Bajos;4;30/01/1998
Defensa central;Hristiyan Petrov;Bulgaria;28;24/06/2002
Lateral izquierdo;Vasilios Zagaritis;Grecia;19;04/05/2001
Lateral derecho;Oliver Braude;Noruega;45;21/02/2004
Lateral derecho;Mats Egbring;Países Bajos;13;17/09/2006
Pivote;Joris van Overeem;Países Bajos;6;01/06/1994
Mediocentro;Marcus Linday;Suecia;16;02/06/2003
Mediocentro;Isaiah Ahmed;Curazao;35;28/12/2005
Mediocentro ofensivo;Ringo Meerveld;Países Bajos;10;21/12/2002
Mediocentro ofensivo;Luuk Brouwers;Países Bajos;8;03/05/1998
Mediocentro ofensivo;Levi Smans ;Países Bajos;14;25/03/2003
Mediocentro ofensivo;Nolhan Courtens;RD del Congo;36;20/12/2006
Extremo izquierdo;Maxence Rivera;Francia;7;30/05/2002
Extremo izquierdo;Luca Oyen;Bélgica;11;14/03/2003
Extremo izquierdo;Amourricho van Axel Dongen;Países Bajos;26;29/09/2004
Extremo derecho;Jacob Trenskow;Dinamarca;20;26/11/2000
Extremo derecho;Eser Gürbüz;Países Bajos;50;06/03/2007
Extremo derecho;Jermaine Rijssel;Surinam;33;25/03/2005
Delantero centro;Dylan Vente;Surinam;9;09/05/1999
Delantero centro;Lasse Nordås;Noruega;18;10/02/2002
