pos;name;pais;num;edad
Portero;Ronald Koeman Jr.;Países Bajos;1;23/05/1995
Portero;Daan Reiziger;Países Bajos;20;18/06/2001
Portero;Tyrick Bodak;Curazao;13;15/05/2002
Defensa central;Guus Offerhaus;Países Bajos;4;03/01/2001
Defensa central;Devon Koswal;Surinam;21;21/08/2003
Defensa central;Danny Bakker;Países Bajos;6;16/01/1995
Defensa central;Neville Ogidi Nwankwo;Países Bajos;14;08/10/2002
Defensa central;Dion Malone;Surinam;29;13/02/1989
Defensa central;Abdelraffie Benzzine;Países Bajos;24;04/04/2006
Defensa central;Yamano Olfers;Surinam;25;02/08/2006
Lateral derecho;Gerald Alders ;Países Bajos;3;07/05/2005
Pivote;Cedric Hatenboer;Países Bajos;23;19/03/2005
Pivote;Nils Rossen;Países Bajos;17;01/08/2004
Mediocentro;Tyrone Owusu;Países Bajos;8;05/03/1999
Mediocentro;Rojendro Oudsten;Surinam;28;12/11/2007
Interior derecho;Tyrese Noslin;Curazao;11;11/09/2002
Interior derecho;Adil Lechkar;Países Bajos;15;02/09/2001
Interior izquierdo;Jeff Hardeveld;Países Bajos;2;27/02/1995
Interior izquierdo;Nigel Ogidi Nwankwo;Países Bajos;5;04/08/1998
Mediocentro ofensivo;Jochem Ritmeester van de Kamp;Países Bajos;39;02/11/2003
Mediocentro ofensivo;Patrick Brouwer;Países Bajos;27;19/03/2001
Mediocentro ofensivo;Dylan Mertens;Países Bajos;16;20/07/1995
Delantero centro;Nökkvi Thórisson;Islandia;19;13/08/1999
Delantero centro;Soufiane Hetli;Países Bajos;7;30/05/2001
Delantero centro;Kay Tejan;Países Bajos;30;03/02/1997
Delantero centro;Sem van Duijn;Países Bajos;37;18/03/2004
Delantero centro;Jelani Seedorf;Países Bajos;9;12/12/2004
