pos;name;pais;num;edad
Portero;Joël Drommel;Países Bajos;-;16/11/1996
Portero;Filip Bednarek;Polonia;-;26/09/1992
Portero;Pascal Kuiper;Países Bajos;-;17/03/2004
Defensa central;Marvin Young;Países Bajos;-;02/10/2005
Defensa central;Teo Quintero;Venezuela;-;02/03/1999
Defensa central;Bruno Martins Indi;Países Bajos;-;08/02/1992
Defensa central;Max de Ligt;Países Bajos;-;20/07/2004
Lateral izquierdo;Patrick van Aanholt;Países Bajos;-;29/08/1990
Lateral izquierdo;Mike Kleijn;Países Bajos;-;09/02/2005
Lateral izquierdo;Giannino Vianello;Países Bajos;-;10/06/2007
Lateral derecho;Shurandy Sambo;Curazao;-;19/08/2001
Lateral derecho;Saïd Bakari;Comoras;-;22/09/1994
Lateral derecho;Lushendry Martes;Países Bajos;-;06/05/2008
Pivote;Joshua Kitolano;Noruega;-;03/08/2001
Mediocentro;Alwande Roaldsøy;Noruega;-;09/06/2004
Mediocentro;Julian Baas;Países Bajos;-;16/04/2002
Mediocentro;Pelle Clement;Países Bajos;-;19/05/1996
Mediocentro;Jonathan de Guzmán;Países Bajos;-;13/09/1987
Mediocentro ofensivo;Vito van Crooij ;Países Bajos;-;29/01/1996
Mediocentro ofensivo;Jens Toornstra;Países Bajos;-;04/04/1989
Mediocentro ofensivo;Ayoni Santos;Países Bajos;-;18/07/2005
Extremo izquierdo;Shunsuke Mito;Japón;-;28/09/2002
Extremo derecho;Casper Terho;Finlandia;-;24/06/2003
Extremo derecho;Mitchell van Bergen;Países Bajos;-;27/08/1999
Delantero centro;Tobias Lauritsen;Noruega;-;30/08/1997
Delantero centro;Milan Zonneveld;Países Bajos;-;08/10/2003
