pos;name;pais1;pais2;num;edad;team_name
Portero;Rui Silva;Portugal;;1;07/02/1994;sporting_lissabon
Portero;João Virgínia;Portugal;;12;10/10/1999;sporting_lissabon
Defensa central;Ousmane Diomande;Costa de Marfil;;26;04/12/2003;sporting_lissabon
Defensa central;Gonçalo Inácio;Portugal;;25;25/08/2001;sporting_lissabon
Defensa central;Zeno Debast;Bélgica;;6;24/10/2003;sporting_lissabon
Defensa central;Eduardo Quaresma;Portugal;;72;02/03/2002;sporting_lissabon
Lateral izquierdo;Maxi Araújo;Uruguay;;20;15/02/2000;sporting_lissabon
Lateral izquierdo;Nuno Santos;Portugal;;11;13/02/1995;sporting_lissabon
Lateral izquierdo;Ricardo Mangas;Portugal;;91;19/03/1998;sporting_lissabon
Lateral derecho;Iván Fresneda;España;;22;28/09/2004;sporting_lissabon
Lateral derecho;Georgios Vagiannidis;Grecia;;13;12/09/2001;sporting_lissabon
Pivote;Morten Hjulmand;Dinamarca;;42;25/06/1999;sporting_lissabon
Mediocentro;João Simões;Portugal;;52;06/01/2007;sporting_lissabon
Mediocentro;Daniel Bragança;Portugal;;23;27/05/1999;sporting_lissabon
Mediocentro;Hidemasa Morita;Japón;;5;10/05/1995;sporting_lissabon
Mediocentro;Giorgi Kochorashvili;Georgia;;14;29/06/1999;sporting_lissabon
Mediocentro ofensivo;Francisco Trincão;Portugal;;17;29/12/1999;sporting_lissabon
Extremo izquierdo;Pedro Gonçalves;Portugal;;8;28/06/1998;sporting_lissabon
Extremo derecho;Geovany Quenda;Portugal;Guinea-Bissau;7;30/04/2007;sporting_lissabon
Extremo derecho;Geny Catamo;Mozambique;;10;26/01/2001;sporting_lissabon
Extremo derecho;Luís Guilherme;Brasil;;31;09/02/2006;sporting_lissabon
Extremo derecho;Souleymane Faye;Senegal;;15;08/02/2003;sporting_lissabon
Delantero centro;Luis Suárez;Colombia;España;97;02/12/1997;sporting_lissabon
Delantero centro;Fotis Ioannidis;Grecia;;89;10/01/2000;sporting_lissabon
Delantero centro;Rafael Nel;Portugal;;90;03/04/2005;sporting_lissabon
Portero;Diogo Costa;Portugal;Suiza;99;19/09/1999;fc_porto
Portero;Cláudio Ramos;Portugal;;14;16/11/1991;fc_porto
