pos;name;pais;num;edad
Portero;Adriel;Brasil;1;14/01/2001
Portero;Simão;Brasil;93;02/07/1993
Portero;Trigueira;Portugal;88;04/01/1988
Defensa central;Cristian Devenish;Colombia;42;25/01/2001
Defensa central;Rúben Semedo;Portugal;35;04/04/1994
Defensa central;Paulo Vitor;Brasil;3;19/07/2001
Defensa central;Ponck;Cabo Verde;26;21/10/1990
Defensa central;Aderllan Santos;Brasil;33;09/04/1989
Lateral izquierdo;Daniel Rivas;Paraguay;12;06/12/2001
Lateral izquierdo;Kiki;Portugal;24;10/12/1994
Lateral derecho;Guillem Molina ;España;5;03/05/2000
Lateral derecho;Mateus Pivô;Brasil;97;16/12/1997
Pivote;Roni;Brasil;70;15/04/1999
Pivote;Ángel Algobia;España;27;23/06/1999
Pivote;Tiago Hernández;Uruguay;19;11/05/2002
Mediocentro;Pedro Lima;Brasil;8;27/03/2003
Mediocentro;Gustavo Mendonça;Portugal;23;11/03/2003
Extremo izquierdo;Óscar Perea;Colombia;14;27/09/2005
Extremo izquierdo;Tunde Akinsola;Nigeria;11;10/03/2003
Extremo izquierdo;Andre Green;Inglaterra;-;26/07/1998
Extremo izquierdo;Guilherme Neiva;Brasil;21;15/03/2001
Delantero centro;Antoine Baroan ;Francia;17;24/06/2000
Delantero centro;Diego Duarte;Paraguay;20;08/04/2002
Delantero centro;Tomané;Portugal;7;23/10/1992
Delantero centro;Nenê ;Brasil;18;28/07/1983
