pos;name;pais;num;edad
Portero;Anatoliy Trubin;Ucrania;1;01/08/2001
Portero;Samuel Soares;Portugal;24;15/06/2002
Defensa central;António Silva;Portugal;4;30/10/2003
Defensa central;Tomás Araújo;Portugal;44;16/05/2002
Defensa central;Nicolás Otamendi ;Argentina;30;12/02/1988
Lateral izquierdo;Samuel Dahl;Suecia;26;04/03/2003
Lateral izquierdo;José Neto;Portugal;62;19/04/2008
Lateral derecho;Amar Dedić;Bosnia y Herzegovina;17;18/08/2002
Lateral derecho;Alexander Bah;Dinamarca;6;09/12/1997
Lateral derecho;Sidny Lopes Cabral;Cabo Verde;15;18/09/2002
Lateral derecho;Daniel Banjaqui;Portugal;58;24/03/2008
Pivote;Richard Ríos;Colombia;20;02/06/2000
Pivote;Enzo Barrenechea;Argentina;5;22/05/2001
Pivote;Manu Silva;Portugal;16;12/06/2001
Mediocentro;Fredrik Aursnes ;Noruega;8;10/12/1995
Mediocentro;Leandro Barreiro;Luxemburgo;18;03/01/2000
Mediocentro;João Veloso ;Portugal;68;26/06/2005
Mediocentro ofensivo;Georgiy Sudakov ;Ucrania;10;01/09/2002
Mediocentro ofensivo;João Rego;Portugal;84;20/06/2005
Extremo izquierdo;Andreas Schjelderup;Noruega;21;01/06/2004
Extremo izquierdo;Bruma ;Portugal;7;24/10/1994
Extremo derecho;Dodi Lukébakio;Bélgica;11;24/09/1997
Extremo derecho;Gianluca Prestianni;Argentina;25;31/01/2006
Mediapunta;Rafa Silva;Portugal;27;17/05/1993
Delantero centro;Vangelis Pavlidis;Grecia;14;21/11/1998
Delantero centro;Franjo Ivanović;Croacia;9;01/10/2003
Delantero centro;Anísio Cabral;Portugal;72;15/02/2008
Delantero centro;Henrique Araújo;Portugal;39;19/01/2002
