pos;name;pais;num;edad
Portero;Patrick Sequeira;Costa Rica;1;01/03/1999
Portero;Ivan Mandić;Croacia;95;10/03/2003
Portero;Rodrigo Moura;Brasil;-;25/01/1996
Portero;Ricardo Batista;Angola;33;19/11/1986
Defensa central;Kaique Rocha;Brasil;27;28/02/2001
Defensa central;João Goulart;Portugal;4;27/01/2000
Defensa central;David Sousa;Brasil;43;04/07/2001
Defensa central;Kaly;Angola;3;27/11/2003
Defensa central;José Fonte ;Portugal;6;22/12/1983
Lateral izquierdo;Abdu Conté;Portugal;5;24/03/1998
Lateral izquierdo;Pedro Rosas;Portugal;75;28/11/2000
Lateral derecho;Gaizka Larrazabal;España;72;17/12/1997
Lateral derecho;André Geraldes;Portugal;18;02/05/1991
Pivote;Seba Pérez;Colombia;42;29/03/1993
Pivote;Rafael Brito;Portugal;8;19/01/2002
Pivote;Iyad Mohamed;Comoras;24;05/03/2001
Mediocentro;Lawrence Ofori;Ghana;80;28/06/1998
Interior derecho;Kevin Prieto;Uruguay;19;27/06/2003
Extremo izquierdo;Tiago Morais;Portugal;21;03/09/2003
Extremo izquierdo;João Marques;Portugal;11;13/02/2002
Extremo izquierdo;Kelian Nsona;Francia;7;11/05/2002
Extremo derecho;Jérémy Livolant;Francia;29;09/01/1998
Extremo derecho;Xander Severina;Curazao;17;12/04/2001
Extremo derecho;Korede Osundina;Estados Unidos;13;13/02/2004
Extremo derecho;Kiki;Portugal;-;14/02/1998
Delantero centro;Dailon Livramento;Cabo Verde;10;04/05/2001
Delantero centro;Cassiano;Brasil;90;16/06/1989
Delantero centro;Clau Mendes;Guinea-Bissau;99;08/12/2000
