pos;name;pais;num;edad
Portero;Kaique Pereira;Brasil;1;16/04/2003
Portero;Lucas França;Brasil;37;19/01/1996
Portero;Kevyn;Brasil;50;01/07/2005
Portero;César Augusto;Brasil;12;23/08/2003
Defensa central;Zé Vítor;Brasil;38;09/02/2001
Defensa central;Ulisses ;Brasil;4;28/09/1999
Defensa central;Léo Santos;Brasil;34;09/12/1998
Defensa central;Ivanildo Fernandes ;Cabo Verde;14;26/03/1996
Defensa central;Chico Gonçalves;Portugal;33;05/03/2004
Lateral izquierdo;José Gomes;Portugal;5;20/07/1996
Lateral izquierdo;Lenny Vallier;Francia;24;24/04/1999
Lateral derecho;Alan Núñez;Paraguay;16;01/10/2004
Lateral derecho;João Aurélio ;Portugal;2;17/08/1988
Pivote;Matheus Dias;Brasil;6;09/05/2002
Mediocentro;Liziero;Brasil;28;07/02/1998
Mediocentro;Chiheb Labidi;Túnez;15;01/06/2001
Mediocentro;Joel Silva;Portugal;26;11/02/2003
Mediocentro;Deivison;Brasil;88;04/05/2006
Mediocentro;Jota;Portugal;20;07/03/1993
Mediocentro;André Sousa;Portugal;18;09/07/1990
Mediocentro ofensivo;Filipe Soares ;Portugal;22;20/05/1999
Mediocentro ofensivo;Daniel Jr;Brasil;10;09/05/2002
Mediocentro ofensivo;Miguel Baeza;España;8;27/03/2000
Extremo izquierdo;Paulinho Bóia;Brasil;11;26/06/1998
Extremo izquierdo;Witi;Mozambique;7;26/08/1996
Extremo derecho;Gabriel Veron;Brasil;27;03/09/2002
Extremo derecho;Pablo Ruan;Brasil;99;01/02/2003
Extremo derecho;Watts;Portugal;30;14/07/2005
Delantero centro;Jesús Ramírez;Venezuela;9;04/05/1998
Delantero centro;Lucas João;Angola;19;04/09/1993
