pos;name;pais;num;edad
Portero;Gabriel Batista ;Brasil;1;03/06/1998
Portero;Neneca;Brasil;12;27/08/2003
Portero;Cristian;Brasil;25;25/02/2002
Defensa central;MT ;Brasil;32;01/03/2001
Defensa central;Sidney Lima;Brasil;23;17/01/1997
Defensa central;Frederico Venâncio;Portugal;21;04/02/1993
Defensa central;Pedro Pacheco;Portugal;4;27/01/1997
Lateral izquierdo;Paulo Victor;Brasil;64;13/04/2001
Lateral izquierdo;Guilherme Romão;Brasil;5;07/10/1997
Lateral derecho;Lucas Soares;Brasil;42;04/05/1998
Lateral derecho;Diogo Calila;Mozambique;2;10/10/1998
Pivote;Pedro Ferreira;Portugal;8;05/01/1998
Pivote;Darlan;Brasil;37;16/04/1998
Mediocentro;Serginho;Portugal;35;01/12/1999
Mediocentro;Gustavo Klismahn;Brasil;77;23/11/1999
Mediocentro ofensivo;Andrey;Brasil;78;06/02/2002
Extremo izquierdo;Gabriel Silva;Brasil;10;22/03/2002
Extremo derecho;Vinícius Lopes;Brasil;70;07/05/1999
Extremo derecho;Brenner;Brasil;11;02/01/2002
Extremo derecho;Welinton Torrão;Brasil;49;30/06/1999
Extremo derecho;Vitinho;Brasil;27;25/03/2003
Extremo derecho;Fernando;Brasil;26;12/04/2005
Delantero centro;Elias Manoel;Brasil;7;30/11/2001
Delantero centro;Gonçalo Paciência;Portugal;39;01/08/1994
Delantero centro;João Costa;Portugal;17;07/03/2000
