pos;name;pais;num;edad
Portero;Bernardo;Brasil;31;23/07/2002
Portero;Lucas Cañizares;España;30;10/05/2002
Portero;Gabriel Souza;Brasil;1;01/01/1997
Defensa central;Christian Marques;Portugal;4;15/01/2003
Defensa central;Brayan Medina;Colombia;20;04/03/2002
Defensa central;João Silva;Portugal;44;14/01/1999
Defensa central;João Afonso;Portugal;5;28/05/1990
Lateral izquierdo;Nor Maviram;Nigeria;60;04/04/2001
Lateral izquierdo;Rémy Vita;Comoras;21;01/04/2001
Lateral derecho;Tiago Manso;Portugal;48;13/12/1999
Lateral derecho;Rodrigo Conceição;Portugal;27;02/01/2000
Lateral derecho;Bebeto;Brasil;2;01/01/1990
Pivote;Juanse Rodríguez;Ecuador;32;27/03/2006
Pivote;Joe Hodge;Irlanda;10;14/09/2002
Pivote;Cícero;Brasil;97;10/05/1997
Mediocentro;Yaya Sithole;Sudáfrica;15;03/03/1999
Mediocentro;Hélder Tavares ;Cabo Verde;8;26/12/1989
Mediocentro ofensivo;Hugo Félix;Portugal;79;03/03/2004
Mediocentro ofensivo;Xabi Huarte;España;14;25/02/2001
Extremo izquierdo;Makan Aïko;Francia;90;07/01/2001
Extremo izquierdo;Benjamin Kimpioka;Suecia;23;21/02/2000
Extremo izquierdo;Moudjatovic;Costa de Marfil;70;20/05/2002
Extremo derecho;Maranhão;Brasil;7;02/03/1999
Extremo derecho;Rony Lopes;Portugal;16;28/12/1995
Extremo derecho;Arjen van der Heide;Países Bajos;26;19/11/2001
Delantero centro;Jordan ;Estados Unidos;29;26/04/1996
