pos;name;pais;num;edad
Portero;Diogo Pinto;Portugal;1;18/06/2004
Portero;Dudu;Alemania;13;10/02/1999
Portero;David Grilo;Portugal;22;13/08/1996
Portero;Renan Ribeiro;Brasil;40;23/03/1990
Defensa central;Stefan Lekovic;Serbia;25;09/01/2004
Defensa central;Luan Patrick;Brasil;30;20/01/2002
Defensa central;Bernardo Schappo;Brasil;14;22/03/1999
Defensa central;Otávio;Brasil;83;25/11/2005
Defensa central;Issiar Dramé;Malí;5;16/02/1999
Defensa central;Ni;Portugal;3;01/03/2003
Defensa central;Georgiy Tunguliyadi;Rusia;23;03/10/2004
Lateral izquierdo;Bruno Langa;Mozambique;24;31/10/1997
Lateral izquierdo;Yahya Kalley;Gambia;2;20/03/2001
Lateral derecho;Jefferson Encada;Guinea-Bissau;17;17/04/1998
Lateral derecho;Max Scholze;Alemania;21;30/04/2005
Pivote;Kevin Höög Jansson;Suecia;6;29/09/2000
Pivote;Eddy Doué;Costa de Marfil;39;11/12/2005
Mediocentro;Paulo Moreira;Portugal;19;17/02/2000
Mediocentro;Robinho;Brasil;8;07/08/2002
Mediocentro;Tom Moustier;Francia;28;02/05/2002
Mediocentro;Alex Sola;Angola;63;14/12/2003
Extremo izquierdo;Ianis Stoica;Rumania;10;08/12/2002
Extremo izquierdo;Jovane Cabral ;Cabo Verde;11;14/06/1998
Extremo izquierdo;Jorge Meireles;Portugal;18;04/04/2004
Extremo izquierdo;Alisson Souza;Brasil;80;11/04/2005
Extremo derecho;Billal Brahimi;Argelia;26;14/03/2000
Extremo derecho;Abraham Marcus;Nigeria;99;02/01/2000
Delantero centro;Sydney van Hooijdonk;Países Bajos;20;06/02/2000
Delantero centro;Rodrigo Pinho;Brasil;9;30/05/1991
Delantero centro;Mathew Gbomadu;Nigeria;17;16/10/2004
Delantero centro;Chilohem Onuoha;Alemania;70;07/05/2005
Delantero centro;Leandro Antonetti;Puerto Rico;77;13/01/2003
