pos;name;pais;num;edad
Portero;André Gomes;Portugal;13;20/10/2004
Portero;Matheus Mendes;Brasil;31;10/03/1999
Portero;Mateus;Brasil;1;02/05/2002
Portero;André Paulo;Portugal;23;18/12/1996
Defensa central;Bastien Meupiyou;Francia;33;19/03/2006
Defensa central;Naves;Brasil;4;08/05/2002
Defensa central;Julián Martínez;Honduras;3;01/12/2003
Defensa central;Sergi Gómez ;España;5;28/03/1992
Defensa central;Steven Baseya;Francia;14;14/01/2005
Lateral izquierdo;Chissumba;Portugal;55;29/05/2005
Lateral izquierdo;Isaac James;Nigeria;12;28/08/2004
Lateral derecho;Diogo Spencer;Portugal;82;17/04/2004
Pivote;Vasco Moreira;Portugal;17;07/05/2001
Pivote;Sabit Abdulai;Ghana;21;11/05/1999
Pivote;Tomás Mendes;Guinea-Bissau;16;21/11/2004
Pivote;Abderrahmane Soumare;Mauritania;30;11/11/2006
Mediocentro;Rhaldney;Brasil;26;20/11/1998
Mediocentro;Davy Gui;Costa de Marfil;6;15/06/2006
Mediocentro;Zakaria Kassary;Marruecos;-;25/01/2006
Interior derecho;Nabil Touaizi;Marruecos;2;01/02/2001
Mediocentro ofensivo;Lincoln;Brasil;18;07/11/1998
Extremo izquierdo;Chiquinho;Portugal;10;05/02/2000
Extremo izquierdo;Figueiredo;Brasil;20;14/08/2001
Extremo izquierdo;Cédric Nuozzi;Bélgica;11;30/01/2006
Extremo derecho;Stéphane Diarra;Costa de Marfil;25;09/12/1998
Extremo derecho;Fabrício Garcia;Cabo Verde;98;04/05/2001
Delantero centro;Marko Milovanović;Serbia;9;04/08/2003
Delantero centro;Mathis Clairicia;Francia;19;30/08/2002
Delantero centro;Sandro Lima;Brasil;91;28/10/1990
Delantero centro;Felipe Lima;Brasil;77;17/04/2006
