pos;name;pais;num;edad
Portero;Ignacio de Arruabarrena;Uruguay;12;16/01/1997
Portero;João Valido;Portugal;1;03/03/2000
Portero;Jakub Vinarčík;Eslovaquia;30;11/07/2005
Defensa central;Boris Popović;Serbia;5;26/02/2000
Defensa central;José Fontán;España;3;11/02/2000
Defensa central;Omar Fayed;Egipto;66;04/07/2003
Defensa central;Javi Sánchez;España;15;14/03/1997
Defensa central;Matías Rocha;Uruguay;4;13/02/2001
Defensa central;Diogo Monteiro;Portugal;6;28/01/2005
Lateral izquierdo;Amadou Dante;Malí;44;07/10/2000
Lateral izquierdo;Bas Kuipers;Países Bajos;25;17/08/1994
Lateral derecho;Tiago Esgaio;Portugal;28;01/08/1995
Lateral derecho;José Silva;Portugal;-;20/08/2005
Mediocentro;Taichi Fukui;Japón;21;15/07/2004
Mediocentro;Espen van Ee;Países Bajos;22;05/07/2003
Mediocentro;Mateo Flores;España;46;07/04/2004
Mediocentro;Yellu Santiago;España;20;25/05/2004
Mediocentro;Pedro Santos;Portugal;89;12/10/2000
Mediocentro ofensivo;Hyun-ju Lee;Corea del Sur;14;07/02/2003
Mediocentro ofensivo;Pablo Gozálbez;España;10;30/04/2001
Extremo izquierdo;Naïs Djouahra;Francia;7;23/11/1999
Extremo izquierdo;Brian Mansilla;Uruguay;24;14/05/2002
Extremo izquierdo;Miguel Puche;España;11;30/04/2001
Extremo derecho;Alfonso Trezza;Uruguay;19;22/06/1999
Delantero centro;Fally Mayulu;Francia;-;15/07/2002
Delantero centro;Dylan Nandín;Uruguay;23;28/02/2002
Delantero centro;Iván Barbero;España;17;17/08/1998
