pos;name;pais;num;edad
Portero;Lazar Carević;Montenegro;25;16/03/1999
Portero;Ivan Zlobin;Rusia;1;07/03/1997
Defensa central;Léo Realpe;Ecuador;3;26/02/2001
Defensa central;Justin de Haas;Países Bajos;16;01/02/2000
Defensa central;Renan Santana;Brasil;13;13/03/2005
Defensa central;Ibrahima Ba;Senegal;55;26/05/2005
Defensa central;Vojin Serafimovic;Serbia;-;14/10/2005
Lateral izquierdo;Pedro Bondo;Angola;28;16/11/2004
Lateral izquierdo;Rafa Soares;Portugal;5;09/05/1995
Lateral derecho;Rodrigo Pinheiro;Portugal;17;28/08/2002
Lateral derecho;Garcia;Brasil;2;04/01/2002
Pivote;Tom van de Looi;Países Bajos;6;02/07/1999
Mediocentro;Mathias de Amorim;Portugal;14;10/12/2004
Mediocentro;Marcos Peña;España;8;22/01/2005
Mediocentro;Otar Mamageishvili;Georgia;15;15/01/2003
Mediocentro ofensivo;Gustavo Sá ;Portugal;20;11/11/2004
Extremo izquierdo;Sorriso;Brasil;7;23/02/2001
Extremo izquierdo;Óscar Aranda;España;11;29/04/2002
Extremo izquierdo;Antoine Joujou;Francia;77;12/03/2003
Extremo izquierdo;Roméo Beney;Suiza;18;19/01/2005
Extremo izquierdo;Rochinha;Portugal;10;03/05/1995
Extremo derecho;Gil Dias;Portugal;23;28/09/1996
Extremo derecho;Pedro Santos;Portugal;80;10/02/2003
Delantero centro;Simon Elisor;Francia;12;22/07/1999
Delantero centro;Umar Abubakar;Nigeria;9;15/02/2006
