pos;name;pais;num;edad
Portero;Diogo Costa ;Portugal;99;19/09/1999
Portero;Cláudio Ramos;Portugal;14;16/11/1991
Portero;João Costa;Portugal;24;02/02/1996
Defensa central;Jakub Kiwior;Polonia;4;15/02/2000
Defensa central;Nehuén Pérez ;Argentina;18;24/06/2000
Defensa central;Jan Bednarek;Polonia;5;12/04/1996
Defensa central;Dominik Prpić;Croacia;21;19/05/2004
Defensa central;Thiago Silva;Brasil;3;22/09/1984
Lateral izquierdo;Francisco Moura;Portugal;74;16/08/1999
Lateral izquierdo;Zaidu Sanusi;Nigeria;12;13/06/1997
Lateral derecho;Alberto Costa;Portugal;20;29/09/2003
Lateral derecho;Martim Fernandes ;Portugal;52;18/01/2006
Pivote;Alan Varela;Argentina;22;04/07/2001
Pivote;Pablo Rosario;República Dominicana;13;07/01/1997
Mediocentro;Victor Froholdt;Dinamarca;8;25/02/2006
Mediocentro;Seko Fofana;Costa de Marfil;42;07/05/1995
Mediocentro ofensivo;Rodrigo Mora;Portugal;86;05/05/2007
Mediocentro ofensivo;Gabri Veiga;España;10;27/05/2002
Extremo izquierdo;Borja Sainz;España;17;21/02/2001
Extremo izquierdo;Oskar Pietuszewski;Polonia;77;20/05/2008
Extremo izquierdo;Yann Karamoh;Francia;75;08/07/1998
Extremo derecho;William Gomes;Brasil;7;15/03/2006
Extremo derecho;Pepê;Brasil;11;24/02/1997
Extremo derecho;André Miranda;Portugal;72;25/09/2007
Delantero centro;Samu Aghehowa ;España;9;05/05/2004
Delantero centro;Terem Moffi;Nigeria;29;25/05/1999
Delantero centro;Deniz Gül;Turquía;27;02/07/2004
Delantero centro;Luuk de Jong ;Países Bajos;26;27/08/1990
