pos;name;pais;num;edad
Portero;Joel Robles;España;1;17/06/1990
Portero;Martin Turk;Eslovenia;16;21/08/2003
Portero;Diogo Dias;Portugal;31;17/06/2003
Defensa central;Kévin Boma;Togo;44;20/11/2002
Defensa central;Felix Bacher;Austria;25;25/10/2000
Defensa central;Antef Tsoungui;Bélgica;5;30/12/2002
Defensa central;Ferro;Portugal;4;26/03/1997
Defensa central;Or Israelov;Israel;18;02/09/2004
Lateral izquierdo;Pedro Amaral;Portugal;24;25/08/1997
Lateral izquierdo;Gonçalo Costa;Portugal;20;18/02/2000
Lateral derecho;Ricard Sánchez;España;2;22/02/2000
Lateral derecho;Pedro Carvalho;Portugal;22;14/02/2003
Pivote;Jordan Holsgrove;Escocia;10;10/09/1999
Pivote;Jandro Orellana;España;6;07/08/2000
Mediocentro;Xeka ;Portugal;8;10/11/1994
Mediocentro;Nodar Lominadze;Georgia;7;04/04/2002
Mediocentro ofensivo;João Carvalho ;Portugal;12;09/03/1997
Mediocentro ofensivo;Pizzi;Portugal;21;06/10/1989
Extremo izquierdo;André Lacximicant;Portugal;19;19/05/2001
Extremo derecho;Rafik Guitane;Argelia;99;26/05/1999
Delantero centro;Yanis Begraoui;Marruecos;14;04/07/2001
Delantero centro;Alejandro Marqués;Venezuela;9;04/08/2000
Delantero centro;Khayon Edwards;Jamaica;11;12/09/2003
