pos;name;pais;num;edad
Portero;Lucão;Brasil;30;26/02/2001
Portero;Dani Figueira;Portugal;99;20/07/1998
Defensa central;Marvin Elimbi;Francia;4;20/02/2003
Defensa central;Buatu;Angola;39;27/09/1993
Defensa central;Antonio Espigares;España;48;05/09/2004
Defensa central;Arthur Tchaptchet;Francia;59;10/05/2006
Lateral izquierdo;Ghislain Konan;Costa de Marfil;3;27/12/1995
Lateral izquierdo;Weverson;Brasil;-;05/07/2000
Lateral derecho;Zé Carlos ;Portugal;2;31/07/1998
Lateral derecho;Hevertton;Portugal;20;01/02/2001
Lateral derecho;Jonathan Mutombo;Francia;45;27/08/2002
Pivote;Mohamed Bamba ;Costa de Marfil;8;08/10/2004
Mediocentro;Facundo Cáseres;Argentina;5;28/05/2001
Mediocentro;Zé Carlos;Portugal;6;30/10/2001
Mediocentro;Gonçalo Maia;Portugal;82;30/11/2005
Mediocentro ofensivo;Luís Esteves;Portugal;10;09/04/1998
Mediocentro ofensivo;Santi García;España;95;29/08/2001
Mediocentro ofensivo;Martín Fernández;Uruguay;32;23/06/2003
Mediocentro ofensivo;Gil Martins;Portugal;-;12/05/2006
Extremo izquierdo;Joelson Fernandes;Portugal;11;28/02/2003
Extremo izquierdo;Tidjany Touré ;Francia;7;15/07/2002
Extremo derecho;Sergio Bermejo;España;22;17/08/1997
Extremo derecho;Murilo;Brasil;77;31/10/1994
Extremo derecho;Agustín Moreira;Uruguay;27;28/05/2001
Delantero centro;Gustavo Varela;Portugal;89;30/01/2005
Delantero centro;Héctor Hernández;España;23;14/09/1995
Delantero centro;Carlos Eduardo;Brasil;29;10/08/2002
