pos;name;pais;num;edad
Portero;André Ferreira;Portugal;13;29/05/1996
Portero;Mika;Portugal;16;08/03/1991
Portero;Caio Secco;Brasil;22;22/12/1990
Defensa;Miguel Silva;Portugal;6;17/12/2007
Defensa central;Michel;Brasil;3;20/05/2003
Defensa central;Maracás;Brasil;26;27/04/1994
Defensa central;Gilberto Batista;Guinea-Bissau;66;29/12/2003
Defensa central;Kevyn Monteiro;Brasil;4;13/09/2005
Lateral izquierdo;Kiko;Portugal;27;16/04/2002
Lateral izquierdo;Álvaro Martínez;España;17;04/05/2002
Lateral derecho;Dinis Pinto;Portugal;76;24/08/2000
Lateral derecho;Diogo Travassos;Portugal;2;31/03/2004
Lateral derecho;Fabiano;Brasil;-;14/03/2000
Lateral derecho;Leandro Santos;Portugal;71;28/09/2005
Pivote;Mateja Stjepanović;Serbia;8;20/02/2004
Pivote;Afonso Assis;Portugal;25;15/07/2006
Mediocentro;Vasco Sousa ;Portugal;15;03/04/2003
Mediocentro;Nile John;Inglaterra;23;06/03/2003
Mediocentro;Rodri Alonso;España;21;04/01/2003
Mediocentro;Jimi Gower;Inglaterra;30;01/10/2004
Mediocentro ofensivo;Alan;Brasil;11;08/03/2000
Extremo izquierdo;Landerson;Brasil;78;12/12/2006
Extremo izquierdo;Cedric Teguia;España;7;01/10/2001
Extremo izquierdo;Kiko Bondoso;Portugal;10;17/11/1995
Delantero centro;Yan Maranhão;Brasil;99;13/09/2002
Delantero centro;Luís Semedo;Portugal;9;11/08/2003
