pos;name;pais;num;edad
Portero;Cezary Miszta ;Polonia;1;30/10/2001
Portero;Ennio van der Gouw;Países Bajos;99;14/02/2000
Portero;Kevin Chamorro;Costa Rica;22;08/04/2000
Defensa central;Andreas Ntoi;Grecia;5;02/02/2003
Defensa central;Francisco Petrasso;Argentina;23;28/01/2002
Defensa central;Nelson Abbey;Inglaterra;6;28/08/2003
Defensa central;Gustavo Mancha;Brasil;39;25/07/2004
Defensa central;Jakub Brabec;República Checa;32;06/08/1992
Defensa central;Julien Lomboto;Francia;63;13/05/2002
Lateral izquierdo;Omar Richards;Inglaterra;77;15/02/1998
Lateral izquierdo;Leonardo Buta;Portugal;24;05/06/2002
Lateral derecho;Marios Vrousai ;Grecia;17;02/07/1998
Lateral derecho;João Tomé;Portugal;20;12/02/2003
Pivote;Georgios Liavas;Grecia;54;12/02/2001
Pivote;Tamás Nikitscher;Hungría;44;03/11/1999
Mediocentro;Brandon Aguilera ;Costa Rica;10;28/06/2003
Mediocentro;Ryan Guilherme;Brasil;8;07/12/2002
Mediocentro;João Graça;Portugal;21;18/06/1995
Mediocentro ofensivo;Ole Pohlmann;Alemania;80;05/04/2001
Mediocentro ofensivo;Antonis Papakanellos;Grecia;19;11/08/2005
Extremo izquierdo;Tobías Medina;Argentina;27;03/03/2004
Extremo derecho;Diogo Bezerra;Brasil;7;16/07/2002
Extremo derecho;Rafael Lobato;Brasil;25;23/02/2006
Extremo derecho;Dario Špikić;Croacia;18;22/03/1999
Extremo derecho;Amine Rehmi;Países Bajos;-;01/04/2002
Delantero centro;Karem Zoabi;Israel;14;03/05/2006
Delantero centro;Tamble;Guinea-Bissau;9;15/11/2000
Delantero centro;Jalen Blesa;España;11;05/02/2001
Delantero centro;Marc Gual;España;28;13/03/1996
