pos;name;pais;num;edad
Portero;Lukas Hornicek;República Checa;1;13/07/2002
Portero;Alaa Bellaarouch;Marruecos;36;01/02/2002
Portero;Tiago Sá;Portugal;12;11/01/1995
Defensa central;Sikou Niakaté ;Malí;4;10/07/1999
Defensa central;Bright Arrey-Mbi;Alemania;26;26/03/2003
Defensa central;Gustaf Lagerbielke;Suecia;14;10/04/2000
Defensa central;Adrian Leon Barisic ;Bosnia y Herzegovina;37;19/07/2001
Defensa central;Jonatás Noro;Portugal;53;09/07/2005
Defensa central;Paulo Oliveira;Portugal;15;08/01/1992
Lateral izquierdo;Leonardo Lelo;Portugal;5;30/03/2000
Lateral derecho;Víctor Gómez;España;2;01/04/2000
Pivote;Gabriel Moscardo;Brasil;17;28/09/2005
Pivote;Demir Ege Tıknaz;Turquía;34;17/08/2004
Pivote;Vítor Carvalho ;Brasil;6;27/05/1997
Pivote;Florian Grillitsch;Austria;27;07/08/1995
Pivote;Yanis da Rocha;Portugal;41;10/05/2004
Mediocentro;Rodrigo Zalazar;Uruguay;10;12/08/1999
Mediocentro;Gorby ;Francia;29;25/07/2002
Mediocentro;Diego Rodrigues;Portugal;50;24/05/2005
Mediocentro;João Moutinho;Portugal;8;08/09/1986
Interior derecho;Mario Dorgeles;Costa de Marfil;20;07/08/2004
Extremo izquierdo;Ricardo Horta ;Portugal;21;15/09/1994
Extremo izquierdo;Gabri Martínez;España;77;22/01/2003
Extremo izquierdo;Sandro Vidigal;Portugal;95;28/07/2007
Delantero centro;Pau Víctor;España;18;26/11/2001
Delantero centro;Fran Navarro;España;39;03/02/1998
Delantero centro;Amine El Ouazzani ;Marruecos;9;15/07/2001
Delantero centro;Samy Jr. Merheg;Líbano;11;06/12/2006
