pos;name;pais;num;edad
Portero;Rui Silva;Portugal;1;07/02/1994
Portero;João Virgínia;Portugal;12;10/10/1999
Defensa central;Gonçalo Inácio;Portugal;25;25/08/2001
Defensa central;Ousmane Diomande;Costa de Marfil;26;04/12/2003
Defensa central;Zeno Debast;Bélgica;6;24/10/2003
Defensa central;Eduardo Quaresma;Portugal;72;02/03/2002
Lateral izquierdo;Maxi Araújo;Uruguay;20;15/02/2000
Lateral izquierdo;Nuno Santos;Portugal;11;13/02/1995
Lateral izquierdo;Ricardo Mangas;Portugal;91;19/03/1998
Lateral derecho;Iván Fresneda;España;22;28/09/2004
Lateral derecho;Georgios Vagiannidis;Grecia;13;12/09/2001
Pivote;Morten Hjulmand ;Dinamarca;42;25/06/1999
Mediocentro;Daniel Bragança;Portugal;23;27/05/1999
Mediocentro;Hidemasa Morita;Japón;5;10/05/1995
Mediocentro;Giorgi Kochorashvili;Georgia;14;29/06/1999
Mediocentro ofensivo;Francisco Trincão;Portugal;17;29/12/1999
Mediocentro ofensivo;João Simões;Portugal;52;06/01/2007
Extremo izquierdo;Pedro Gonçalves;Portugal;8;28/06/1998
Extremo derecho;Geovany Quenda;Portugal;7;30/04/2007
Extremo derecho;Geny Catamo;Mozambique;10;26/01/2001
Extremo derecho;Luís Guilherme;Brasil;31;09/02/2006
Extremo derecho;Souleymane Faye;Senegal;15;08/02/2003
Delantero centro;Luis Suárez;Colombia;97;02/12/1997
Delantero centro;Fotis Ioannidis;Grecia;89;10/01/2000
