pos;name;pais;num;edad
Portero;Juan Castillo;Colombia;25;13/01/2003
Portero;Charles;Brasil;27;04/02/1994
Portero;Gui;Portugal;91;13/05/2006
Defensa central;Óscar Rivas ;España;4;27/03/2000
Defensa central;Rodrigo Abascal ;Uruguay;26;14/01/1994
Defensa central;Thiago Balieiro;Brasil;28;23/02/2003
Defensa central;Miguel Nóbrega;Portugal;3;17/04/2000
Lateral izquierdo;João Mendes;Portugal;13;13/04/2000
Lateral izquierdo;Orest Lebedenko;Ucrania;17;23/09/1998
Lateral derecho;Maga;Portugal;2;16/11/2002
Lateral derecho;Tony Strata;Rumania;66;07/09/2004
Pivote;Diogo Sousa;Portugal;23;20/01/2006
Mediocentro;Matija Mitrović;Serbia;6;12/12/2004
Mediocentro;Beni Mukendi;Angola;16;21/05/2002
Mediocentro;Gonçalo Nogueira;Portugal;30;28/12/2003
Mediocentro ofensivo;Samu ;Portugal;20;21/04/1996
Mediocentro ofensivo;Miguel Nogueira;Portugal;88;27/02/2005
Extremo izquierdo;Oumar Camara;Francia;19;11/05/2007
Extremo izquierdo;Fabio Blanco;España;22;18/02/2004
Extremo izquierdo;Noah Saviolo;Bélgica;48;07/03/2004
Extremo derecho;Gustavo Silva;Brasil;11;01/06/1999
Extremo derecho;Telmo Arcanjo;Cabo Verde;18;21/06/2001
Delantero centro;Ejike Opara;Nigeria;33;05/07/2005
Delantero centro;Alioune Ndoye;Senegal;90;05/10/2001
Delantero centro;Nélson Oliveira;Portugal;7;08/08/1991
