pos;name;pais1;pais2;num;edad;team_name
Portero;Denis Adamov;Rusia;;16;20/02/1998;zenit_st_petersburg
Portero;Evgeniy Latyshonok;Rusia;;1;21/06/1998;zenit_st_petersburg
Portero;Bogdan Moskvichev;Rusia;;57;30/04/2004;zenit_st_petersburg
Portero;Mikhail Kerzhakov;Rusia;;41;28/01/1987;zenit_st_petersburg
Defensa central;Nino;Brasil;;33;10/04/1997;zenit_st_petersburg
Defensa central;Igor Diveev;Rusia;;78;27/09/1999;zenit_st_petersburg
Defensa central;Vanja Drkusic;Eslovenia;;6;30/10/1999;zenit_st_petersburg
Defensa central;Nuraly Alip;Kazajistán;;28;22/12/1999;zenit_st_petersburg
Lateral izquierdo;Douglas Santos;Brasil;Rusia;3;22/03/1994;zenit_st_petersburg
Lateral izquierdo;Román Vega;Argentina;;66;01/01/2004;zenit_st_petersburg
Lateral izquierdo;Yuriy Gorshkov;Rusia;;4;13/03/1999;zenit_st_petersburg
Lateral derecho;Gustavo Mantuan;Brasil;Italia;31;20/06/2001;zenit_st_petersburg
Lateral derecho;Vyacheslav Karavaev;Rusia;;15;20/05/1995;zenit_st_petersburg
Lateral derecho;Arsen Adamov;Rusia;;23;20/10/1999;zenit_st_petersburg
Pivote;Wilmar Barrios;Colombia;;5;16/10/1993;zenit_st_petersburg
Mediocentro;Wendel;Brasil;;8;28/08/1997;zenit_st_petersburg
Mediocentro;Yaroslav Mikhailov;Rusia;;18;28/04/2003;zenit_st_petersburg
Mediocentro;Daniil Kondakov;Rusia;;61;06/03/2008;zenit_st_petersburg
Mediocentro ofensivo;Jhon Jhon;Brasil;;14;09/09/2002;zenit_st_petersburg
Mediocentro ofensivo;Aleksandr Erokhin;Rusia;;21;13/10/1989;zenit_st_petersburg
Extremo izquierdo;Pedro;Brasil;;20;05/02/2006;zenit_st_petersburg
Extremo izquierdo;Andrey Mostovoy;Rusia;;17;05/11/1997;zenit_st_petersburg
Extremo derecho;Luiz Henrique;Brasil;;11;02/01/2001;zenit_st_petersburg
Extremo derecho;Vadim Shilov;Rusia;;51;15/03/2008;zenit_st_petersburg
Mediapunta;Maksim Glushenkov;Rusia;;10;28/07/1999;zenit_st_petersburg
Delantero centro;Jhon Durán;Colombia;;9;13/12/2003;zenit_st_petersburg
Delantero centro;Aleksandr Sobolev;Rusia;;7;07/03/1997;zenit_st_petersburg
Portero;Aleksandr Maksimenko;Rusia;;98;19/03/1998;spartak_moskau
Portero;Ilya Pomazun;Rusia;;1;16/08/1996;spartak_moskau
Portero;Aleksandr Dovbnya;Rusia;;56;10/04/1987;spartak_moskau
Defensa central;Srdjan Babic;Serbia;Bosnia y Herzegovina;6;22/04/1996;spartak_moskau
