pos;name;pais;num;edad
Portero;Daniil Frolkin;Rusia;1;15/05/2001
Portero;Igor Obukhov;Rusia;96;29/05/1996
Portero;Vladislav Kalinichev;Rusia;62;07/03/2005
Defensa central;Stanislav Magkeev;Rusia;27;27/03/1999
Defensa central;Yuriy Zhuravlev;Rusia;44;29/06/1996
Defensa central;Igor Yurganov;Rusia;20;10/12/1993
Defensa central;Ilya Gaponov;Rusia;95;25/10/1997
Defensa central;Albert Gabaraev;Rusia;5;28/09/1997
Lateral derecho;Darko Todorovic;Bosnia y Herzegovina;55;05/05/1997
Lateral derecho;Vasiliy Cherov;Rusia;2;13/01/1996
Pivote;Vyacheslav Yakimov;Rusia;23;05/01/1998
Pivote;Ravil Netfullin ;Rusia;52;03/03/1993
Mediocentro;Kirill Simonov;Rusia;18;24/05/2006
Mediocentro ofensivo;Nikolay Giorgobiani;Rusia;99;16/07/1997
Mediocentro ofensivo;Butta Magomedov;Rusia;97;25/12/1997
Mediocentro ofensivo;Nikita Motpan;Moldavia;11;17/07/2001
Mediocentro ofensivo;Abdula Bagamaev;Rusia;8;18/10/2004
Mediocentro ofensivo;Nuri Abdokov;Rusia;70;16/07/2000
Extremo izquierdo;Ilnur Alshin;Rusia;10;31/08/1993
Delantero centro;Belajdi Pusi;Albania;19;23/01/1998
Delantero centro;Axel Gnapi;Francia;7;28/08/2001
Delantero centro;Merabi Uridia;Rusia;93;07/04/1993
Delantero centro;Maksim Turishchev;Rusia;9;05/03/2002
Delantero centro;Aleksandr Belyaev;Rusia;52;23/01/2006
