pos;name;pais;num;edad
Portero;Aleksandr Selikhov;Rusia;57;07/04/1994
Portero;Aleksey Mamin;Rusia;71;22/03/1999
Portero;Mikhail Oparin;Rusia;1;22/05/1993
Portero;Ivan Kuznetsov;Rusia;86;05/12/2005
Defensa central;Silvije Begic ;Croacia;2;03/06/1993
Defensa central;Ítalo;Brasil;16;18/02/2002
Defensa central;Matvey Bardachev;Rusia;4;24/03/2006
Defensa central;Artem Mamin;Rusia;46;25/07/1997
Defensa central;Egor Filipenko;Bielorrusia;24;10/04/1988
Lateral izquierdo;Dmitriy Prishchepa;Bielorrusia;35;21/06/2001
Lateral izquierdo;Vladislav Malkevich;Bielorrusia;44;04/12/1999
Lateral derecho;Timofey Margasov;Rusia;34;12/06/1992
Pivote;Fanil Sungatulin;Rusia;6;24/12/2001
Pivote;Timur Ayupov;Rusia;5;26/07/1993
Pivote;Dmytro Ivanisenya;Ucrania;21;11/01/1994
Mediocentro;Léo Cordeiro ;Brasil;22;27/09/1995
Mediocentro;Vitaliy Bondarev;Rusia;37;12/12/2007
Interior izquierdo;Egor Mosin;Rusia;9;31/08/2003
Interior izquierdo;Evgeniy Kharin;Rusia;59;11/06/1995
Interior izquierdo;Yuriy Zheleznov;Rusia;14;15/11/2002
Mediocentro ofensivo;Ilya Ishkov;Rusia;97;25/05/2005
Mediocentro ofensivo;Roman Akbashev;Rusia;13;01/11/1991
Mediocentro ofensivo;Nikita Morozov;Rusia;18;03/02/2006
Extremo derecho;Vladislav Karapuzov;Rusia;11;06/01/2000
Delantero centro;Martin Sekulic;Croacia;10;04/01/1999
Delantero centro;Evgeniy Markov;Rusia;20;07/07/1994
Delantero centro;Egor Bogomolskiy;Bielorrusia;19;03/06/2000
