pos;name;pais;num;edad
Portero;Vadim Ulyanov;Rusia;1;07/10/2001
Portero;Giorgiy Shelia;Rusia;88;11/12/1988
Portero;Yakhya Magomedov;Rusia;72;06/04/2007
Defensa central;Turpal-Ali Ibishev;Rusia;4;18/02/2002
Defensa central;Dzhamalutdin Abdulkadyrov;Rusia;2;23/03/2005
Defensa central;Mohammadmehdi Zare;Irán;22;25/01/2003
Defensa central;Ousmane N'Dong;Senegal;90;20/09/1999
Defensa central;Klisman Cake;Albania;5;02/05/1999
Lateral izquierdo;Miroslav Bogosavac;Serbia;8;14/10/1996
Lateral izquierdo;Maksim Sidorov;Rusia;81;18/03/1998
Lateral derecho;Daniil Khlusevich;Rusia;82;26/02/2001
Lateral derecho;Rizvan Utsiev ;Rusia;40;07/02/1988
Lateral derecho;Ilyas Gaibov;Rusia;32;08/06/2005
Pivote;Kelliano;Angola;42;16/01/2003
Mediocentro;Ismael Silva;Brasil;11;01/12/1994
Mediocentro;Papa Amady Gadio;Senegal;37;19/10/2001
Interior derecho;Akhmed Davlitgereev;Rusia;27;14/02/2005
Mediocentro ofensivo;Egas Cacintura;Angola;17;29/10/1997
Mediocentro ofensivo;Rifat Zhemaletdinov;Rusia;10;20/09/1996
Mediocentro ofensivo;Sergey Pryakhin;Rusia;19;16/12/2002
Mediocentro ofensivo;Abakar Gadzhiev;Rusia;70;31/12/2003
Mediocentro ofensivo;Valeriy Tsarukyan;Rusia;80;12/11/2001
Extremo izquierdo;Lechi Sadulaev;Rusia;7;08/01/2000
Extremo izquierdo;Brian Mansilla;Argentina;9;16/04/1997
Extremo izquierdo;Galymzhan Kenzhebek;Kazajistán;23;12/02/2003
Extremo derecho;Maksim Samorodov;Kazajistán;20;29/06/2002
Delantero centro;Mohamed Konaté;Burkina Faso;13;12/12/1997
Delantero centro;Georgiy Melkadze;Rusia;77;04/04/1997
