pos;name;pais;num;edad
Portero;Vitaliy Gudiev;Rusia;88;22/04/1995
Portero;Aleksandr Vasyutin;Rusia;78;04/03/1995
Portero;Ignat Terekhovskiy;Rusia;32;27/03/2006
Defensa central;Ionuț Nedelcearu;Rumania;24;25/04/1996
Defensa central;Marat Bokoev;Rusia;19;17/07/2001
Defensa central;Rodrigo Escoval;Portugal;26;08/05/1997
Defensa central;Nikita Baranok;Bielorrusia;3;31/03/2004
Lateral izquierdo;Roberto Fernández;Bolivia;21;12/07/1999
Lateral izquierdo;Denis Popenkov;Rusia;89;03/10/2006
Lateral derecho;Yomar Rocha;Bolivia;2;21/06/2003
Pivote;Aleksa Djurasovic;Serbia;5;23/12/2002
Pivote;Stefan Loncar;Montenegro;15;19/02/1996
Pivote;Khetag Khosonov;Rusia;80;18/06/1998
Pivote;Konstantin Maradishvili;Rusia;8;07/02/2000
Mediocentro;Ifet Djakovac;Bosnia y Herzegovina;35;05/12/1997
Mediocentro;Kristijan Bistrovic;Croacia;23;09/04/1998
Mediocentro ofensivo;Maksim Kuzmin;Rusia;6;01/06/1996
Mediocentro ofensivo;Maksim Boldyrev;Rusia;91;31/03/2004
Mediocentro ofensivo;Nikita Bazilevskiy;Rusia;18;05/06/2006
Extremo izquierdo;Kévin Arévalo;Uruguay;10;06/06/2006
Extremo derecho;Dmitriy Pestryakov;Rusia;71;08/12/2006
Extremo derecho;Edgar Sevikyan;Armenia;7;08/08/2001
Extremo derecho;Arseniy Dmitriev;Rusia;69;18/07/2007
Delantero centro;Artem Dzyuba ;Rusia;22;22/08/1988
Delantero centro;Benchimol;Cabo Verde;11;29/12/2001
