pos;name;pais;num;edad
Portero;Maksim Borisko;Rusia;67;15/02/2000
Portero;Egor Lyubakov;Rusia;44;28/06/1999
Portero;Ivan Kukushkin;Rusia;81;24/07/2002
Defensa central;Kevin Andrade;Colombia;16;16/06/1999
Defensa central;Sergey Varatynov;Rusia;2;27/06/2003
Defensa central;Aleksandr Filin;Rusia;25;25/06/1996
Defensa central;Nathan Gassama;Malí;4;05/01/2001
Defensa central;Eduardo Anderson;Panamá;21;31/01/2001
Defensa central;Kirill Obonin;Rusia;46;05/07/2006
Lateral izquierdo;Eldar Civic ;Bosnia y Herzegovina;77;28/05/1996
Lateral izquierdo;Mikhail Ryadno;Rusia;68;18/09/2005
Lateral derecho;Mingiyan Beveev;Rusia;23;30/11/1995
Pivote;Andrey Mendel ;Rusia;8;17/04/1995
Pivote;Ivan Belikov;Rusia;26;25/07/2004
Pivote;Aymane Mourid;Marruecos;5;07/05/2000
Mediocentro;Stefan Kovac;Bosnia y Herzegovina;14;14/01/1999
Mediocentro;Maksim Petrov;Rusia;73;18/01/2001
Mediocentro;Ilya Petrov;Rusia;10;27/06/1995
Mediocentro;Nikolay Titkov;Rusia;22;18/08/2000
Interior derecho;Yuriy Kovalev;Bielorrusia;11;27/01/1993
Mediocentro ofensivo;Vladislav Pospelov;Rusia;42;25/09/2006
Extremo izquierdo;Tenton Yenne;Nigeria;15;07/07/2000
Extremo derecho;Irakliy Manelov;Rusia;69;19/09/2002
Delantero centro;Brayan Gil;El Salvador;91;28/06/2001
Delantero centro;Derik Lacerda;Brasil;18;27/09/1999
Delantero centro;Chinonso Offor ;Nigeria;90;27/05/2000
Delantero centro;Kirill Nikishin;Rusia;28;05/02/2004
Delantero centro;Kirill Stepanov;Rusia;39;04/08/2006
