pos;name;pais;num;edad
Portero;Andrey Lunev;Rusia;99;13/11/1991
Portero;Igor Leshchuk;Rusia;31;20/02/1996
Portero;Kurban Rasulov;Rusia;40;05/01/2006
Portero;Andrey Kudravets;Bielorrusia;47;02/09/2003
Defensa central;David Ricardo;Brasil;57;21/12/2002
Defensa central;Nicolás Marichal;Uruguay;2;17/03/2001
Defensa central;Maksim Osipenko;Rusia;55;16/05/1994
Defensa central;Roberto Fernández;Paraguay;6;07/06/2000
Defensa central;Milan Majstorovic;Serbia;5;21/02/2005
Defensa central;Leon Zaydenzal;Rusia;56;08/07/2004
Lateral izquierdo;Rubens;Brasil;44;21/06/2001
Lateral izquierdo;Bakhtiyor Zaynutdinov ;Kazajistán;19;02/04/1998
Lateral izquierdo;Dmitriy Skopintsev;Rusia;7;02/03/1997
Lateral derecho;Juan José Cáceres;Paraguay;4;01/06/2000
Pivote;Danil Glebov;Rusia;15;03/11/1999
Pivote;Daniil Fomin ;Rusia;74;02/03/1997
Pivote;Luis Chávez ;México;24;15/01/1996
Pivote;Aleksandr Kutitskiy;Rusia;50;01/01/2002
Pivote;Dmitriy Aleksandrov ;Rusia;30;31/07/2006
Mediocentro ofensivo;Bitello;Brasil;10;07/01/2000
Mediocentro ofensivo;Anton Miranchuk;Rusia;21;17/10/1995
Mediocentro ofensivo;Viktor Okishor;Rusia;88;30/12/2006
Extremo izquierdo;Arthur Gomes;Brasil;11;03/07/1998
Extremo izquierdo;Nicolas Moumi Ngamaleu;Camerún;13;09/07/1994
Extremo izquierdo;Ulvi Babaev;Rusia;17;30/03/2004
Extremo derecho;Yaroslav Gladyshev;Rusia;91;05/05/2003
Delantero centro;Konstantin Tyukavin;Rusia;70;22/06/2002
Delantero centro;Ivan Sergeev;Rusia;33;11/05/1995
Delantero centro;El Mehdi Maouhoub;Marruecos;14;05/06/2003
