pos;name;pais;num;edad
Portero;Stanislav Agkatsev;Rusia;1;09/01/2002
Portero;Aleksandr Koryakin;Rusia;16;10/03/2002
Portero;Roman Safronov;Rusia;-;15/02/2003
Defensa central;Diego Costa;Brasil;4;21/07/1999
Defensa central;Vítor Tormena;Brasil;3;04/01/1996
Defensa central;Valentin Paltsev;Rusia;17;12/07/2001
Defensa central;Jubal;Brasil;5;29/08/1993
Defensa central;Vitaliy Stezhko ;Rusia;2;29/01/1997
Lateral izquierdo;Lucas Olaza;Uruguay;15;21/07/1994
Lateral izquierdo;Artem Khmarin;Rusia;59;03/05/2007
Lateral izquierdo;Dmitriy Pivovarov;Rusia;32;21/03/2000
Lateral derecho;Giovanni González;Uruguay;20;20/09/1994
Lateral derecho;Sergey Petrov ;Rusia;98;02/01/1991
Pivote;Aleksandr Chernikov;Rusia;53;01/02/2000
Pivote;Kevin Lenini;Cabo Verde;6;27/01/1997
Pivote;Nikita Getjman;Rusia;77;03/07/2004
Mediocentro;Douglas Augusto;Brasil;66;13/01/1997
Mediocentro;Grigoriy Lovtsov  ;Rusia;-;06/01/2005
Mediocentro ofensivo;Eduard Spertsyan ;Armenia;10;07/06/2000
Mediocentro ofensivo;Nikita Krivtsov;Rusia;88;18/08/2002
Extremo izquierdo;Victor Sá;Brasil;7;27/03/1994
Extremo derecho;João Batxi;Angola;11;01/05/1998
Extremo derecho;Moses David Cobnan;Nigeria;90;10/09/2002
Extremo derecho;Timur Abdrashitov;Rusia;41;19/04/2002
Mediapunta;Juan Manuel Boselli;Uruguay;23;09/11/1999
Delantero centro;Jhon Córdoba;Colombia;9;11/05/1993
Delantero centro;Aleksandr Koksharov;Rusia;96;20/12/2004
Delantero centro;Kazbek Mukailov;Rusia;67;01/06/2007
Delantero centro;Danil Karpov;Rusia;21;28/06/1999
