pos;name;pais;num;edad
Portero;David Volk;Rusia;27;11/04/2001
Portero;Timur Magomedov;Rusia;39;20/12/2001
Portero;Nikita Karabashev;Rusia;33;30/06/2002
Defensa central;Idar Shumakhov;Rusia;4;05/06/1999
Defensa central;Jemal Tabidze;Georgia;5;18/03/1996
Defensa central;Mutalip Alibekov ;Rusia;99;18/06/1997
Defensa central;Andrés Alarcón;Colombia;24;19/05/2001
Defensa central;Ilyas Akhmedov;Rusia;43;02/04/2007
Lateral izquierdo;Temirkan Sundukov;Rusia;77;17/09/2001
Lateral izquierdo;Jan Dapo;Eslovenia;71;17/09/2002
Lateral derecho;Mohamed Azzi;Argelia;22;11/05/2002
Lateral derecho;Soslan Kagermazov;Rusia;13;20/08/1996
Lateral derecho;Aleksandr Sandrachuk ;Rusia;72;02/01/2002
Pivote;Houssem Mrezigue;Argelia;16;23/03/2000
Pivote;Mehdi Moubarik;Marruecos;6;22/01/2001
Pivote;Abdulpasha Dzhabrailov;Rusia;21;24/11/2004
Mediocentro;Nikita Glushkov;Rusia;47;19/03/1999
Mediocentro ofensivo;Mohammadjavad Hosseinnejad;Irán;10;26/06/2003
Mediocentro ofensivo;Razhab Magomedov;Rusia;9;03/10/2000
Mediocentro ofensivo;Kirill Zinovich;Bielorrusia;19;05/03/2003
Extremo derecho;Diaa Eddine Mechid;Argelia;55;11/06/2006
Delantero centro;Gamid Agalarov;Rusia;25;16/07/2000
Delantero centro;Miro;Angola;11;22/04/2003
Delantero centro;Hazem Mastouri;Túnez;7;18/06/1997
Delantero centro;Serder Serderov;Rusia;28;10/03/1994
Delantero centro;Gadzhi Budunov;Rusia;98;11/02/2007
