pos;name;pais;num;edad
Portero;Nikita Medvedev;Rusia;30;17/12/1994
Portero;Vadim Lukyanov;Rusia;1;16/12/2002
Portero;Egor Koshkin;Rusia;51;02/05/2006
Defensa central;Sven Karic;Eslovenia;25;07/03/1998
Defensa central;Viktor Aleksandrov;Rusia;2;14/02/2002
Defensa central;Edgardo Fariña ;Panamá;24;19/10/2001
Defensa central;Nikita Kakkoev;Rusia;22;22/08/1999
Defensa central;Ilya Kirsh;Rusia;4;21/09/2004
Lateral izquierdo;Maksim Shnaptsev;Rusia;70;19/04/2004
Lateral izquierdo;Juan Camilo Castillo;Colombia;23;03/10/2002
Lateral izquierdo;Yaroslav Krashevskiy;Rusia;16;16/03/2004
Lateral derecho;Vadim Pigas;Bielorrusia;32;08/08/2001
Lateral derecho;Aleksandr Ektov ;Rusia;15;30/01/1996
Lateral derecho;Yuriy Koledin;Rusia;3;10/12/2004
Pivote;Mamadou Maiga ;Malí;8;10/02/1995
Pivote;Alex Opoku Sarfo;Ghana;6;20/10/2004
Pivote;Nikolay Kalinskiy;Rusia;78;22/09/1993
Mediocentro;Luka Vesner Ticic;Eslovenia;29;25/10/2000
Mediocentro;Artem Sidorenko;Rusia;69;03/01/2007
Mediocentro ofensivo;Andrey Ivlev;Rusia;77;21/11/2006
Mediocentro ofensivo;Nikita Ermakov;Rusia;19;19/01/2003
Mediocentro ofensivo;Egor Smelov;Rusia;17;11/03/2005
Extremo izquierdo;Olakunle Olusegun;Nigeria;40;23/04/2002
Extremo izquierdo;Daniil Lesovoy;Rusia;88;12/01/1998
Extremo izquierdo;Vyacheslav Grulev;Rusia;27;23/03/1999
Extremo izquierdo;Renaldo Cephas;Jamaica;21;18/12/1999
Delantero centro;Adrián Balboa;Uruguay;10;19/01/1994
Delantero centro;Matvey Urvantsev;Rusia;14;29/11/2004
Delantero centro;Stanislav Lapinskiy;Rusia;-;15/02/2005
