pos;name;pais;num;edad
Portero;Bogdan Ovsyannikov;Rusia;1;05/01/1999
Portero;Nikolay Sysuev;Rusia;99;19/05/1999
Portero;Maksim Rudakov;Rusia;88;22/01/1996
Portero;Andrey Khodanovich;Rusia;95;08/09/2004
Defensa central;Danila Khotulev;Rusia;4;01/10/2002
Defensa central;Artem Kasimov;Rusia;38;17/04/2003
Defensa central;Aleksey Tataev;Rusia;5;08/10/1998
Defensa central;Emil Tsenov;Bulgaria;26;26/04/2002
Defensa central;Jhon Alex Palacios;Colombia;6;02/10/1999
Lateral izquierdo;Alexis Cantero;Paraguay;32;05/02/2003
Lateral izquierdo;Danila Vedernikov;Rusia;3;06/06/2001
Lateral derecho;Fahd Moufi;Marruecos;18;05/05/1996
Lateral derecho;Stanislav Poroykov;Rusia;2;24/04/2004
Pivote;Pavel Gorelov;Armenia;22;22/01/2003
Pivote;Evgeniy Bolotov;Rusia;57;04/06/2001
Pivote;Tigran Avanesyan;Armenia;59;13/04/2002
Pivote;Irakliy Kvekveskiri;Rusia;33;12/03/1990
Mediocentro;Du Queiroz;Brasil;37;07/01/2000
Interior derecho;Dmitriy Rybchinskiy;Rusia;20;19/08/1998
Mediocentro ofensivo;Damián Puebla;Argentina;21;15/09/2002
Mediocentro ofensivo;Renat Golybin;Rusia;27;30/08/2005
Extremo izquierdo;Emircan Gürlük;Turquía;7;15/10/2003
Extremo izquierdo;Anas El Mahraoui;Marruecos;29;29/03/2001
Extremo derecho;Jordhy Thompson;Chile;16;10/08/2004
Extremo derecho;Stepan Oganesyan;Rusia;11;28/09/2001
Extremo derecho;Ruslan Kul;Rusia;78;22/02/2000
Delantero centro;Alexandre Jesus;Brasil;19;16/09/2001
Delantero centro;Maksim Saveljev;Rusia;9;22/01/2002
Delantero centro;Gedeon Guzina;Bosnia y Herzegovina;30;26/12/1993
Delantero centro;Ivan Gulko;Rusia;65;23/10/2003
