pos;name;pais;num;edad
Portero;Rustam Yatimov;Tayikistán;1;13/07/1998
Portero;Daniil Odoevskiy;Rusia;71;22/01/2003
Portero;Hidajet Hankic;Bosnia y Herzegovina;13;29/06/1994
Defensa central;Viktor Melekhin;Rusia;4;16/12/2003
Defensa central;Oumar Sako;Níger;3;04/05/1996
Defensa central;Danila Prokhin;Rusia;5;24/05/2001
Defensa central;Dmitriy Chistyakov;Rusia;78;13/01/1994
Defensa central;David Semenchuk;Rusia;22;22/10/2004
Defensa central;German Ignatov;Rusia;67;11/08/2005
Defensa central;Nikita Babakin;Rusia;59;05/01/2006
Lateral izquierdo;Eyad El Askalany;Egipto;34;24/12/2004
Lateral izquierdo;Aleksandr Tarasov;Rusia;6;10/01/2006
Lateral izquierdo;Evgeniy Chernov;Rusia;28;23/10/1992
Lateral derecho;Ilya Vakhania;Rusia;40;14/01/2001
Lateral derecho;Andrey Langovich;Rusia;87;28/05/2003
Mediocentro;Aleksey Mironov;Rusia;8;01/01/2000
Mediocentro;Daniil Shantaliy;Rusia;58;25/05/2004
Interior izquierdo;Ilya Zhbanov;Rusia;57;25/07/2004
Mediocentro ofensivo;Kirill Shchetinin;Rusia;10;17/01/2002
Mediocentro ofensivo;Konstantin Kuchaev ;Rusia;18;18/03/1998
Mediocentro ofensivo;Khoren Bayramyan;Armenia;19;07/01/1992
Extremo izquierdo;Mohammad Mohebi;Irán;9;20/12/1998
Extremo izquierdo;Ibraheem Mahfus Ajasa;Nigeria;17;26/11/2005
Extremo derecho;Ronaldo;Brasil;7;07/12/2000
Extremo derecho;Ivan Komarov;Rusia;62;15/04/2003
Extremo derecho;Stepan Melnikov  ;Rusia;77;25/04/2002
Delantero centro;Egor Golenkov;Rusia;69;07/07/1999
Delantero centro;Timur Suleymanov;Rusia;99;17/03/2000
Delantero centro;Anton Shamonin;Rusia;91;28/03/2005
