pos;name;pais;num;edad
Portero;Aleksandr Degtev;Rusia;35;27/04/2005
Portero;Yuriy Dyupin;Rusia;99;17/03/1988
Defensa central;Aleksandr Soldatenkov;Rusia;3;28/12/1996
Defensa central;Nemanja Stojic;Serbia;44;15/01/1998
Defensa central;Marcelo Alves ;Brasil;33;07/02/1998
Defensa central;Vyacheslav Litvinov;Rusia;4;01/04/2001
Defensa central;Makar Chirkov ;Rusia;37;28/01/2005
Lateral izquierdo;Yahia Attiyat Allah;Marruecos;25;02/03/1995
Lateral izquierdo;Artem Makarchuk;Rusia;17;09/11/1995
Lateral derecho;Sergey Volkov;Rusia;82;09/09/2002
Lateral derecho;Kirill Zaika;Rusia;27;07/10/1992
Lateral derecho;Ruslan Magal;Rusia;28;24/09/1991
Pivote;Maksim Mukhin;Rusia;16;04/11/2001
Pivote;Kirill Kravtsov;Rusia;14;14/06/2002
Pivote;Dmitriy Vasiljev;Rusia;20;16/06/2004
Pivote;Aleksandr Osipov;Rusia;34;21/10/1998
Mediocentro;Aleksandr Kovalenko;Rusia;19;08/08/2003
Mediocentro ofensivo;Mikhail Ignatov;Rusia;8;04/05/2000
Extremo izquierdo;Anton Zinkovskiy;Rusia;7;14/04/1996
Extremo izquierdo;François Kamano;Guinea;45;02/05/1996
Extremo izquierdo;Martin Kramaric;Eslovenia;10;14/11/1997
Extremo izquierdo;Gustavo Furtado;Brasil;23;14/02/2001
Extremo izquierdo;Artem Korneev;Rusia;18;25/03/2006
Extremo derecho;Roman Ezhov;Rusia;29;02/09/1997
Extremo derecho;Ruslan Bart;Rusia;59;16/11/2005
Delantero centro;Pavel Meleshin;Rusia;11;25/03/2004
Delantero centro;Vladimir Iljin;Rusia;98;20/05/1992
Delantero centro;Zakhar Fedorov;Rusia;9;24/12/2004
