pos;name;pais;num;edad
Portero;Nikita Kokarev;Rusia;80;08/01/2003
Portero;Sergey Pesjakov;Rusia;30;16/12/1988
Portero;Evgeniy Frolov;Rusia;39;05/02/1988
Defensa central;Gonzalo Requena;Argentina;31;04/03/2003
Defensa central;Nikita Chernov;Rusia;23;14/01/1996
Defensa central;Dominik Oroz;Croacia;5;29/10/2000
Defensa central;Roman Evgenjev;Rusia;24;23/02/1999
Defensa central;Ivan Lepskiy;Rusia;18;19/01/2005
Defensa central;Sergey Bozhin;Rusia;47;12/09/1994
Defensa central;Ilya Gribakin;Rusia;65;01/02/2004
Lateral izquierdo;Thomas Galdames;Chile;3;20/11/1998
Lateral izquierdo;Kirill Pechenin;Bielorrusia;2;18/03/1997
Lateral derecho;Nikolay Rasskazov;Rusia;15;04/01/1998
Lateral derecho;Dani Fernández;España;72;30/04/1997
Pivote;Fernando Costanza;Brasil;22;29/11/1998
Pivote;Maksim Vityugov;Rusia;8;01/02/1998
Mediocentro;Sergey Babkin;Rusia;6;25/09/2002
Mediocentro;Mihajlo Banjac;Serbia;14;10/11/1999
Mediocentro;Kirill Stolbov;Rusia;20;08/04/2004
Mediocentro ofensivo;Ilzat Akhmetov;Rusia;77;31/12/1997
Mediocentro ofensivo;Amar Rahmanovic;Bosnia y Herzegovina;11;13/05/1994
Extremo izquierdo;Vladimir Khubulov;Rusia;10;02/03/2001
Extremo derecho;Vadim Rakov ;Rusia;7;09/01/2005
Extremo derecho;Ivan Oleynikov;Rusia;19;24/08/1998
Extremo derecho;Jimmy Marín;Costa Rica;26;08/10/1997
Extremo derecho;Aleksey Sutormin ;Rusia;9;10/01/1994
Delantero centro;Artem Shumanskiy;Bielorrusia;70;25/11/2004
Delantero centro;Chinedu Geoffrey;Nigeria;99;01/10/1997
Delantero centro;Vladimir Ignatenko;Rusia;91;12/05/2006
