pos;name;pais;num;edad
Portero;Anton Mitryushkin ;Rusia;1;08/02/1996
Portero;Ilya Lantratov;Rusia;22;11/11/1995
Portero;Daniil Veselov;Rusia;16;30/01/2005
Defensa central;César Montes;México;23;24/02/1997
Defensa central;Lucas Fasson;Brasil;3;30/05/2001
Defensa central;Gerzino Nyamsi;Camerún;5;22/01/1997
Defensa central;Evgeniy Morozov;Rusia;85;14/02/2001
Defensa central;Egor Pogostnov;Rusia;59;01/03/2004
Lateral izquierdo;Cristian Ramírez;Ecuador;2;12/08/1994
Lateral derecho;Aleksandr Silyanov;Rusia;45;17/02/2001
Lateral derecho;Maksim Nenakhov;Rusia;24;13/12/1998
Pivote;Artem Karpukas;Rusia;93;13/06/2002
Pivote;Artem Timofeev;Rusia;94;12/01/1994
Pivote;Mikhail Shchetinin;Rusia;88;08/07/2005
Mediocentro;Danil Prutsev;Rusia;25;25/03/2000
Mediocentro;Lucas Vera;Argentina;32;18/04/1997
Mediocentro;Danila Godyaev;Rusia;90;20/04/2004
Mediocentro ofensivo;Aleksey Batrakov;Rusia;83;09/06/2005
Extremo izquierdo;Sergey Pinyaev;Rusia;9;02/11/2004
Extremo izquierdo;Aleksandr Rudenko;Rusia;19;15/03/1999
Extremo izquierdo;Nikita Saltykov;Rusia;14;11/08/2004
Extremo izquierdo;Ruslan Myalkovskiy;Bielorrusia;99;07/05/2006
Extremo derecho;Zelimkhan Bakaev;Rusia;7;01/07/1996
Delantero centro;Dmitriy Vorobyov;Rusia;10;28/11/1997
Delantero centro;Nikolay Komlichenko;Rusia;27;29/06/1995
Delantero centro;Vladislav Sarveli;Rusia;8;01/10/1997
