pos;name;pais;num;edad
Portero;Evgeniy Staver;Rusia;38;16/02/1998
Portero;Aleksey Kenyaykin;Rusia;1;23/08/1998
Portero;Artur Nigmatullin;Rusia;25;17/05/1991
Defensa central;Igor Vujacic ;Montenegro;5;08/08/1994
Defensa central;Egor Teslenko;Rusia;2;31/01/2001
Defensa central;Denil Maldonado;Honduras;3;26/05/1998
Defensa central;Aleksey Gritsaenko;Rusia;27;25/05/1995
Defensa central;Konstantin Nizhegorodov;Rusia;4;21/06/2002
Defensa central;Nikita Lobov;Rusia;98;21/07/2005
Defensa central;Uros Drezgic ;Serbia;26;04/10/2002
Lateral izquierdo;Ilya Rozhkov;Rusia;51;29/03/2005
Lateral derecho;Anderson Arroyo;Colombia;12;27/09/1999
Lateral derecho;Dmitriy Kabutov;Rusia;70;26/03/1992
Pivote;Veldin Hodza;Kosovo;22;15/10/2002
Pivote;Ugochukwu Iwu ;Armenia;6;28/11/1999
Pivote;Ignacio Saavedra;Chile;7;12/01/1999
Pivote;Anton Shvets ;Rusia;30;26/04/1993
Pivote;Nikita Vasiljev;Rusia;96;14/12/2006
Mediocentro;Daler Kuzyaev ;Rusia;14;15/01/1993
Mediocentro;Bogdan Jocic;Serbia;8;11/01/2001
Mediocentro;Aleksandar Jukic;Austria;77;26/07/2000
Mediocentro;Marat Apshatsev;Rusia;18;27/05/2001
Mediocentro;Aleksandr Zotov;Rusia;21;27/08/1990
Interior izquierdo;Ruslan Bezrukov;Rusia;23;21/03/2002
Mediocentro ofensivo;Nazmi Gripshi;Albania;11;05/07/1997
Mediocentro ofensivo;Oleg Ivanov;Rusia;19;04/08/1986
Extremo derecho;Aleksandr Lomovitskiy;Rusia;9;27/01/1998
Extremo derecho;Daniil Kuznetsov;Rusia;44;23/04/2003
Extremo derecho;Enri Mukba;Rusia;87;22/09/2005
Delantero centro;Mirlind Daku ;Albania;10;01/01/1998
Delantero centro;Jacques Siwe;Francia;43;29/07/2001
Delantero centro;Dardan Shabanhaxhaj;Austria;99;23/04/2001
Delantero centro;Daniil Motorin;Rusia;59;16/07/2004
