pos;name;pais;num;edad
Portero;Aleksandr Maksimenko;Rusia;98;19/03/1998
Portero;Ilya Pomazun;Rusia;1;16/08/1996
Portero;Aleksandr Dovbnya;Rusia;56;10/04/1987
Defensa central;Christopher Wooh;Camerún;3;18/09/2001
Defensa central;Srdjan Babic ;Serbia;6;22/04/1996
Defensa central;Ruslan Litvinov;Rusia;68;18/08/2001
Defensa central;Alexander Djiku;Ghana;4;09/08/1994
Lateral izquierdo;Oleg Reabciuk;Moldavia;2;16/01/1998
Lateral izquierdo;Ilya Samoshnikov;Rusia;14;14/11/1997
Lateral derecho;Daniil Denisov;Rusia;97;21/10/2002
Pivote;Nail Umyarov;Rusia;18;27/06/2000
Pivote;Christopher Martins;Luxemburgo;35;19/02/1997
Mediocentro;Gedson Fernandes;Portugal;83;09/01/1999
Mediocentro;Roman Zobnin ;Rusia;47;11/02/1994
Interior derecho;Vladislav Saus;Rusia;17;06/08/2003
Mediocentro ofensivo;Esequiel Barco;Argentina;5;29/03/1999
Mediocentro ofensivo;Daniil Zorin;Rusia;28;22/02/2004
Extremo izquierdo;Marquinhos;Brasil;10;23/10/1999
Extremo izquierdo;Igor Dmitriev;Rusia;27;24/07/2004
Extremo derecho;Pablo Solari;Argentina;7;22/03/2001
Extremo derecho;Théo Bongonda;RD del Congo;77;20/11/1995
Extremo derecho;Nikita Massalyga;Rusia;24;09/10/2007
Delantero centro;Manfred Ugalde;Costa Rica;9;25/05/2002
Delantero centro;Levi García;Trinidad y Tobago;11;20/11/1997
Delantero centro;Anton Zabolotnyi;Rusia;91;13/06/1991
