pos;name;pais;num;edad
Portero;Evgeniy Latyshonok;Rusia;1;21/06/1998
Portero;Denis Adamov;Rusia;16;20/02/1998
Portero;Bogdan Moskvichev;Rusia;57;30/04/2004
Portero;Nikita Goylo;Rusia;13;10/08/1998
Portero;Mikhail Kerzhakov;Rusia;41;28/01/1987
Defensa central;Nino;Brasil;33;10/04/1997
Defensa central;Igor Diveev;Rusia;78;27/09/1999
Defensa central;Vanja Drkusic;Eslovenia;6;30/10/1999
Defensa central;Nuraly Alip;Kazajistán;28;22/12/1999
Lateral izquierdo;Douglas Santos ;Brasil;3;22/03/1994
Lateral izquierdo;Román Vega;Argentina;66;01/01/2004
Lateral izquierdo;Yuriy Gorshkov;Rusia;4;13/03/1999
Lateral derecho;Gustavo Mantuan;Brasil;31;20/06/2001
Lateral derecho;Vyacheslav Karavaev;Rusia;15;20/05/1995
Lateral derecho;Arsen Adamov;Rusia;23;20/10/1999
Pivote;Wilmar Barrios;Colombia;5;16/10/1993
Mediocentro;Wendel;Brasil;8;28/08/1997
Mediocentro;Yaroslav Mikhailov;Rusia;18;28/04/2003
Mediocentro;Daniil Kondakov;Rusia;61;06/03/2008
Mediocentro ofensivo;Jhon Jhon;Brasil;14;09/09/2002
Mediocentro ofensivo;Aleksandr Erokhin;Rusia;21;13/10/1989
Extremo izquierdo;Pedro;Brasil;20;05/02/2006
Extremo izquierdo;Andrey Mostovoy;Rusia;17;05/11/1997
Extremo derecho;Luiz Henrique;Brasil;11;02/01/2001
Extremo derecho;Vadim Shilov ;Rusia;51;15/03/2008
Mediapunta;Maksim Glushenkov;Rusia;10;28/07/1999
Delantero centro;Jhon Durán;Colombia;9;13/12/2003
Delantero centro;Aleksandr Sobolev;Rusia;7;07/03/1997
