pos;name;pais;num;edad
Portero;Igor Akinfeev ;Rusia;35;08/04/1986
Portero;Vladislav Torop;Rusia;49;07/11/2003
Portero;Egor Besaev;Rusia;85;03/01/2006
Defensa central;João Victor;Brasil;4;17/07/1998
Defensa central;Matvey Lukin;Rusia;90;27/04/2004
Defensa central;Kirill Danilov;Rusia;79;12/08/2007
Lateral izquierdo;Moisés;Brasil;27;11/03/1995
Lateral izquierdo;Matheus Reis;Brasil;2;18/02/1995
Lateral derecho;Milan Gajic;Serbia;22;28/01/1996
Lateral derecho;Ramiro Di Luciano;Argentina;24;21/01/2004
Pivote;Dmitriy Barinov;Rusia;6;11/09/1996
Pivote;Artem Bandikyan;Armenia;52;20/09/2005
Mediocentro;Matvey Kislyak;Rusia;31;26/07/2005
Mediocentro;Ivan Oblyakov;Rusia;10;05/07/1998
Interior izquierdo;Danil Krugovoy;Rusia;3;28/05/1998
Mediocentro ofensivo;Matheus Alves;Brasil;7;05/03/2005
Mediocentro ofensivo;Danila Kozlov;Rusia;18;19/01/2005
Mediocentro ofensivo;Matija Popović;Serbia;20;08/01/2006
Extremo izquierdo;Daniel Ruiz;Colombia;19;30/07/2001
Extremo derecho;Kirill Glebov;Rusia;17;10/11/2005
Extremo derecho;Henrique Carmo;Brasil;37;09/11/2006
Extremo derecho;Artem Serikov;Rusia;88;26/05/2007
Extremo derecho;Egor Ushakov;Rusia;14;02/12/2002
Delantero centro;Luciano Gondou;Argentina;9;22/06/2001
Delantero centro;Tamerlan Musaev;Rusia;11;29/07/2001
Delantero centro;Maksim Voronov;Rusia;97;18/10/2007
