pos;name;pais1;pais2;num;edad;team_name
Portero;Viljami Sinisalo;Finlandia;;12;11/10/2001;celtic_glasgow
Portero;Kasper Schmeichel;Dinamarca;;1;05/11/1986;celtic_glasgow
Portero;Ross Doohan;Escocia;;31;29/03/1998;celtic_glasgow
Defensa central;Cameron Carter-Vickers;Estados Unidos;Inglaterra;20;31/12/1997;celtic_glasgow
Defensa central;Auston Trusty;Estados Unidos;;6;12/08/1998;celtic_glasgow
Defensa central;Liam Scales;Irlanda;;5;08/08/1998;celtic_glasgow
Defensa central;Dane Murray;Escocia;;47;26/06/2003;celtic_glasgow
Defensa central;Benjamin Arthur;Inglaterra;;43;09/10/2005;celtic_glasgow
Lateral izquierdo;Kieran Tierney;Escocia;Isla de Man;63;05/06/1997;celtic_glasgow
Lateral izquierdo;Marcelo Saracchi;Uruguay;;36;23/04/1998;celtic_glasgow
Lateral izquierdo;Adam Montgomery;Escocia;;37;18/07/2002;celtic_glasgow
Lateral derecho;Julián Araujo;México;Estados Unidos;22;13/08/2001;celtic_glasgow
Lateral derecho;Alistair Johnston;Canadá;Irlanda del Norte;2;08/10/1998;celtic_glasgow
Lateral derecho;Anthony Ralston;Escocia;;56;16/11/1998;celtic_glasgow
Lateral derecho;Colby Donovan;Escocia;;51;07/09/2006;celtic_glasgow
Pivote;Callum McGregor;Escocia;;42;14/06/1993;celtic_glasgow
Mediocentro;Arne Engels;Bélgica;;27;08/09/2003;celtic_glasgow
Mediocentro;Reo Hatate;Japón;;41;21/11/1997;celtic_glasgow
Mediocentro;Paulo Bernardo;Portugal;;28;24/01/2002;celtic_glasgow
Mediocentro;Luke McCowan;Escocia;;14;09/12/1997;celtic_glasgow
Mediocentro;Alex Oxlade-Chamberlain;Inglaterra;;21;15/08/1993;celtic_glasgow
Interior derecho;Joel Mvuka;Noruega;;32;12/11/2002;celtic_glasgow
Extremo izquierdo;Daizen Maeda;Japón;;38;20/10/1997;celtic_glasgow
Extremo izquierdo;Sebastian Tounekti;Túnez;Noruega;23;13/07/2002;celtic_glasgow
Extremo izquierdo;Jota;Portugal;;7;30/03/1999;celtic_glasgow
Extremo izquierdo;Michel-Ange Balikwisha;RD del Congo;Bélgica;10;10/05/2001;celtic_glasgow
Extremo derecho;Benjamin Nygren;Suecia;;8;08/07/2001;celtic_glasgow
Extremo derecho;Hyun-jun Yang;Corea del Sur;;13;25/05/2002;celtic_glasgow
Extremo derecho;James Forrest;Escocia;;49;07/07/1991;celtic_glasgow
Delantero centro;Junior Adamu;Austria;;9;06/06/2001;celtic_glasgow
Delantero centro;Kelechi Iheanacho;Nigeria;;17;03/10/1996;celtic_glasgow
Delantero centro;Tomas Cvancara;República Checa;;11;13/08/2000;celtic_glasgow
Delantero centro;Callum Osmand;Inglaterra;Jersey;19;08/11/2005;celtic_glasgow
Portero;Jack Butland;Inglaterra;;1;10/03/1993;glasgow_rangers
Portero;Liam Kelly;Escocia;;31;23/01/1996;glasgow_rangers
Portero;Kieran Wright;Escocia;;32;01/04/1999;glasgow_rangers
Defensa central;Emmanuel Fernandez;Nigeria;Inglaterra;37;20/11/2001;glasgow_rangers
Defensa central;Nasser Djiga;Burkina Faso;Serbia;24;15/11/2002;glasgow_rangers
Defensa central;John Souttar;Escocia;Australia;5;25/09/1996;glasgow_rangers
Defensa central;Derek Cornelius;Canadá;Jamaica;13;25/11/1997;glasgow_rangers
Lateral izquierdo;Tuur Rommens;Bélgica;;25;26/03/2003;glasgow_rangers
Lateral izquierdo;Jayden Meghoma;Inglaterra;Nigeria;30;28/06/2006;glasgow_rangers
Lateral derecho;Max Aarons;Inglaterra;Jamaica;3;04/01/2000;glasgow_rangers
Lateral derecho;Dujon Sterling;Inglaterra;Jamaica;21;24/10/1999;glasgow_rangers
Lateral derecho;James Tavernier;Inglaterra;;2;31/10/1991;glasgow_rangers
Pivote;Nicolas Raskin;Bélgica;;43;23/02/2001;glasgow_rangers
Pivote;Tochi Chukwuani;Dinamarca;Nigeria;42;24/03/2003;glasgow_rangers
Pivote;Connor Barron;Escocia;;8;29/08/2002;glasgow_rangers
Pivote;Bailey Rice;Escocia;;49;04/10/2006;glasgow_rangers
Mediocentro;Mohamed Diomandé;Costa de Marfil;Ghana;10;30/10/2001;glasgow_rangers
Mediocentro ofensivo;Thelo Aasgaard;Noruega;Inglaterra;11;02/05/2002;glasgow_rangers
Mediocentro ofensivo;Nedim Bajrami;Albania;Suiza;14;28/02/1999;glasgow_rangers
Extremo izquierdo;Mikey Moore;Inglaterra;Gales;47;11/08/2007;glasgow_rangers
Extremo izquierdo;Djeidi Gassama;Mauritania;Francia;23;10/09/2003;glasgow_rangers
Extremo derecho;Andreas Skov Olsen;Dinamarca;;7;29/12/1999;glasgow_rangers
Extremo derecho;Oliver Antman;Finlandia;;18;15/08/2001;glasgow_rangers
Delantero centro;Youssef Chermiti;Portugal;Túnez;9;24/05/2004;glasgow_rangers
Delantero centro;Ryan Naderi;Alemania;República Checa;20;10/07/2003;glasgow_rangers
Delantero centro;Bojan Miovski;Macedonia del Norte;;28;24/06/1999;glasgow_rangers
Portero;Alexander Schwolow;Alemania;;25;02/06/1992;heart_of_midlothian_fc
Portero;Craig Gordon;Escocia;;1;31/12/1982;heart_of_midlothian_fc
Portero;Ryan Fulton;Escocia;Inglaterra;30;23/05/1996;heart_of_midlothian_fc
Defensa central;Michael Steinwender;Austria;;15;04/05/2000;heart_of_midlothian_fc
Defensa central;Stuart Findlay;Escocia;;19;14/09/1995;heart_of_midlothian_fc
Defensa central;Craig Halkett;Escocia;;4;29/05/1995;heart_of_midlothian_fc
Defensa central;Frankie Kent;Inglaterra;;2;21/11/1995;heart_of_midlothian_fc
Defensa central;Jamie McCart;Escocia;;5;20/06/1997;heart_of_midlothian_fc
Lateral izquierdo;Harry Milne;Escocia;;18;29/10/1996;heart_of_midlothian_fc
Lateral izquierdo;Stephen Kingsley;Escocia;;3;23/07/1994;heart_of_midlothian_fc
Lateral derecho;Christian Borchgrevink;Noruega;;12;11/05/1999;heart_of_midlothian_fc
Lateral derecho;Jordi Altena;Países Bajos;;23;04/12/2003;heart_of_midlothian_fc
Lateral derecho;Oisin McEntee;Irlanda;Estados Unidos;31;05/01/2001;heart_of_midlothian_fc
Pivote;Beni Baningime;RD del Congo;Inglaterra;6;09/09/1998;heart_of_midlothian_fc
Pivote;Calem Nieuwenhof;Australia;Países Bajos;8;17/02/2001;heart_of_midlothian_fc
Mediocentro;Ageu;Brasil;;40;20/02/2002;heart_of_midlothian_fc
Mediocentro;Cammy Devlin;Australia;;14;07/06/1998;heart_of_midlothian_fc
Mediocentro;Marc Leonard;Escocia;;49;19/12/2001;heart_of_midlothian_fc
Mediocentro;Blair Spittal;Escocia;;16;19/12/1995;heart_of_midlothian_fc
Mediocentro;Tómas Bent Magnússon;Islandia;;22;14/08/2002;heart_of_midlothian_fc
Mediocentro ofensivo;Finlay Pollock;Escocia;;24;27/06/2004;heart_of_midlothian_fc
Extremo izquierdo;Alexandros Kyziridis;Grecia;;89;16/09/2000;heart_of_midlothian_fc
Extremo izquierdo;Rogers Mato;Uganda;;74;10/10/2003;heart_of_midlothian_fc
Extremo izquierdo;Pierre Landry Kabore;Burkina Faso;;11;05/07/2001;heart_of_midlothian_fc
Extremo izquierdo;Alan Forrest;Escocia;;17;09/09/1996;heart_of_midlothian_fc
Extremo derecho;Islam Chesnokov;Kazajistán;;99;21/11/1999;heart_of_midlothian_fc
Extremo derecho;Sabah Kerjota;Albania;;29;14/08/2001;heart_of_midlothian_fc
Delantero centro;Cláudio Braga;Portugal;;10;28/10/1999;heart_of_midlothian_fc
Delantero centro;Lawrence Shankland;Escocia;;9;10/08/1995;heart_of_midlothian_fc
Delantero centro;Elton Kabangu;Bélgica;RD del Congo;7;08/02/1998;heart_of_midlothian_fc
Portero;Raphael Sallinger;Austria;;1;08/12/1995;hibernian_fc
Portero;Jordan Smith;Inglaterra;;13;08/12/1994;hibernian_fc
Defensa central;Munashe Garananga;Zimbabue;;42;18/01/2001;hibernian_fc
Defensa central;Rocky Bushiri;RD del Congo;Bélgica;33;30/11/1999;hibernian_fc
Defensa central;Warren O'Hora;Irlanda;;5;19/04/1999;hibernian_fc
Defensa central;Grant Hanley;Escocia;;4;20/11/1991;hibernian_fc
Defensa central;Jack Iredale;Australia;Escocia;15;02/05/1996;hibernian_fc
Lateral izquierdo;Jordan Obita;Uganda;Inglaterra;21;08/12/1993;hibernian_fc
Lateral derecho;Felix Passlack;Alemania;;25;29/05/1998;hibernian_fc
Lateral derecho;Chris Cadden;Escocia;;12;19/09/1996;hibernian_fc
Lateral derecho;Kanayo Megwa;Inglaterra;Nigeria;27;05/03/2004;hibernian_fc
Pivote;Dan Barlaser;Inglaterra;Turquía;22;18/01/1997;hibernian_fc
Pivote;Miguel Chaiwa;Zambia;;14;07/06/2004;hibernian_fc
Mediocentro;Josh Mulligan;Escocia;;20;12/11/2002;hibernian_fc
