pos;name;pais;num;edad
Portero;Ross Laidlaw;Escocia;1;12/07/1992
Portero;Trevor Carson;Irlanda del Norte;30;05/03/1988
Portero;Bradley Foster;Inglaterra;21;05/10/2001
Defensa central;Dylan Smith;Escocia;15;21/06/2006
Defensa central;Akil Wright;Inglaterra;4;13/05/1996
Defensa central;Alex Iacovitti;Escocia;16;02/09/1997
Defensa central;Declan Gallagher;Escocia;31;13/02/1991
Defensa central;Levis Pitan;Polonia;5;24/05/2005
Lateral izquierdo;Len O'Sullivan;Irlanda;3;09/11/2003
Lateral izquierdo;Josh Reid;Escocia;43;03/05/2002
Lateral izquierdo;Sean Mackie;Escocia;62;04/11/1998
Lateral derecho;Connor Randall ;Inglaterra;6;21/10/1995
Lateral derecho;Ben Crompton;Inglaterra;2;17/12/2003
Pivote;Ross Docherty;Escocia;23;23/01/1993
Mediocentro;Dean Cornelius;Escocia;8;11/04/2001
Mediocentro;Jamie Lindsay;Escocia;38;11/10/1995
Mediocentro;Kaedyn Kamara;Inglaterra;-;29/11/2005
Interior derecho;Jay Henderson;Escocia;7;21/02/2002
Interior izquierdo;Ryan Duncan;Escocia;27;18/01/2004
Mediocentro ofensivo;Noah Chilvers;Inglaterra;10;22/02/2001
Extremo derecho;Miller Thomson;Escocia;29;20/07/2004
Delantero centro;James Scott;Escocia;44;30/08/2000
Delantero centro;Uche Ikpeazu;Uganda;9;28/02/1995
Delantero centro;Kieran Phillips;Inglaterra;11;18/02/2000
Delantero centro;Jordan White;Escocia;26;04/02/1992
Delantero centro;Jayden Carbon;Inglaterra;-;04/08/2005
