pos;name;pais;num;edad
Portero;Toby Steward;Inglaterra;1;12/02/2005
Portero;Ross Sinclair;Escocia;20;07/05/2001
Defensa central;Morgan Boyes;Gales;4;22/04/2001
Defensa central;Bozo Mikulic;Croacia;2;29/01/1997
Defensa central;Cheick Diabaté;Inglaterra;3;21/01/2002
Defensa central;Jack Baird;Escocia;15;07/02/1996
Lateral izquierdo;Matty Foulds;Inglaterra;14;01/02/1998
Lateral derecho;Adam Forrester;Escocia;35;31/03/2005
Lateral derecho;Liam Smith;Escocia;33;10/04/1996
Lateral derecho;Reghan Tumilty;Escocia;2;26/02/1997
Pivote;Jonathan Svedberg;Suecia;8;22/03/1999
Mediocentro;Reece McAlear;Escocia;42;12/02/2002
Mediocentro;Sam Stanton;Escocia;11;19/04/1994
Mediocentro;Jason Holt;Escocia;7;19/02/1993
Mediocentro;Stevie Mallan;Escocia;22;25/03/1996
Interior derecho;Josh McPake;Escocia;24;31/08/2001
Interior derecho;Franciszek Franczak;Polonia;46;16/08/2007
Extremo derecho;Kai Fotheringham;Escocia;21;18/04/2003
Extremo derecho;Taylor Steven;Escocia;-;17/09/2004
Extremo derecho;Alfie Agyeman;Ghana;27;15/03/2000
Delantero centro;Jamie Gullan;Escocia;10;02/07/1999
Delantero centro;Ruari Paton;Irlanda;-;09/08/2000
Delantero centro;Josh Fowler;Escocia;9;14/11/2001
Delantero centro;Louis Lloyd;Gales;17;15/10/2003
